Wavelength,5MPCA_reduced,5MPCA,5MPCA_oxy,PYO_reduced,PYO,PYO_oxy
300,1.708,1.812,1.8035,2.726,,
320,1.1305,1.119,1.074,2.433,,
340,0.924,0.97,0.901,0.966,1.2215,1.13
360,0.8175,0.9855,0.91,0.811,1.3265,1.221
380,0.683,0.9015,0.82,0.8095,1.718,1.5675
400,0.559,0.6815,0.6215,0.3175,0.4625,0.43
420,0.449,0.406,0.3695,0.1965,0.1765,0.171
440,0.377,0.3235,0.2995,0.16,0.1295,0.1275
460,0.3175,0.324,0.3125,0.134,0.124,0.121
480,0.2545,0.3435,0.3445,0.1215,0.128,0.1225
500,0.208,0.373,0.38,0.118,0.141,0.132
520,0.1855,0.391,0.3985,0.1215,0.1665,0.154
540,0.1625,0.37,0.37,0.134,0.218,0.1995
560,0.134,0.3165,0.3025,0.159,0.3,0.272
580,0.1,0.2345,0.202,0.1945,0.4055,0.3675
600,0.0765,0.191,0.138,0.2375,0.531,0.479
620,0.065,0.183,0.1155,0.281,0.6575,0.592
640,0.0585,0.187,0.1095,0.3225,0.7775,0.6995
660,0.054,0.192,0.1075,0.3535,0.869,0.7815
680,0.051,0.188,0.104,0.372,0.9215,0.828
700,0.0485,0.176,0.0995,0.3735,0.9265,0.832
