"","Sample","OD500","per_JV537","label","median_OD_500","median_per_JV537"
"1","std1",0.191,100,"std",0.191,100
"2","std2",0.097,50,"std",0.097,50
"3","std3",0.054,25,"std",0.051,25
"4","std4",0.027,12.5,"std",0.026,12.5
"5","std5",0.014,6.25,"std",0.014,6.25
"6","std6",0.007,3.125,"std",0.007,3.125
"7","std7",0.003,1.5625,"std",0.003,1.5625
"8","JV3",0.052,27.2684210526316,"JV3",0.025,12.9764705882353
"9","JV4",0.031,16.2157894736842,"JV4",0.028,16.2157894736842
"10","JV5",0.04,20.9526315789474,"JV5",0.033,19.4470588235294
"11","PAO1",0.027,14.1105263157895,"PA01",0.027,14.7411764705882
"12","PA14",0.036,18.8473684210526,"Pa14",0.03,17.6823529411765
"13","std1",0.209,100,"std",0.191,100
"14","std2",0.099,50,"std",0.097,50
"15","std3",0.051,25,"std",0.051,25
"16","std4",0.026,12.5,"std",0.026,12.5
"17","std5",0.014,6.25,"std",0.014,6.25
"18","std6",0.007,3.125,"std",0.007,3.125
"19","std7",0.003,1.5625,"std",0.003,1.5625
"20","JV3",0.025,12,"JV3",0.025,12.9764705882353
"21","JV4",0.026,12.4761904761905,"JV4",0.028,16.2157894736842
"22","JV5",0.027,12.952380952381,"JV5",0.033,19.4470588235294
"23","PAO1",0.031,14.8571428571429,"PA01",0.027,14.7411764705882
"24","PA14",0.028,13.4285714285714,"Pa14",0.03,17.6823529411765
"25","std1",0.169,100,"std",0.191,100
"26","std2",0.08,50,"std",0.097,50
"27","std3",0.043,25,"std",0.051,25
"28","std4",0.021,12.5,"std",0.026,12.5
"29","std5",0.011,6.25,"std",0.014,6.25
"30","std6",0.005,3.125,"std",0.007,3.125
"31","std7",0.003,1.5625,"std",0.003,1.5625
"32","JV3",0.022,12.9764705882353,"JV3",0.025,12.9764705882353
"33","JV4",0.028,16.5058823529412,"JV4",0.028,16.2157894736842
"34","JV5",0.033,19.4470588235294,"JV5",0.033,19.4470588235294
"35","PAO1",0.025,14.7411764705882,"PA01",0.027,14.7411764705882
"36","PA14",0.03,17.6823529411765,"Pa14",0.03,17.6823529411765
