Kp_strain,Ec_strain,blank_corr_read,trial,growth,med_blank_corr_read
JV1,JV534,0.128,trial_1,Y,0.128
JV74,JV534,0.017,trial_1,Y,0.017
JV77,JV534,0.0010000000000000009,trial_1,Y,0.024000000000000007
JV78,JV534,0.08700000000000001,trial_1,Y,0.08700000000000001
JV79,JV534,0.111,trial_1,Y,0.111
JV80,JV534,0.09300000000000001,trial_1,Y,0.09300000000000001
JV81,JV534,0.046,trial_1,Y,0.08
JV82,JV534,0.062,trial_1,Y,0.062
JV83,JV534,0.007000000000000006,trial_1,Y,0.08800000000000001
JV84,JV534,0.12000000000000001,trial_1,Y,0.12000000000000001
JV85,JV534,0.02500000000000001,trial_1,Y,0.036000000000000004
JV86,JV534,0.051000000000000004,trial_1,Y,0.065
JV88,JV534,0.015000000000000006,trial_1,Y,0.032
JV89,JV534,0.012000000000000004,trial_1,Y,0.012000000000000004
JV90,JV534,0.081,trial_1,Y,0.081
JV91,JV534,0.114,trial_1,Y,0.114
JV93,JV534,0.112,trial_1,Y,0.12200000000000001
JV94,JV534,0.08,trial_1,Y,0.16599999999999998
JV95,JV534,0.18,trial_1,Y,0.198
JV96,JV534,0.013000000000000005,trial_1,Y,0.017
JV97,JV534,0.137,trial_1,Y,0.137
JV98,JV534,0.131,trial_1,Y,0.131
JV99,JV534,0.23200000000000004,trial_1,Y,0.28800000000000003
JV100,JV534,0.08,trial_1,Y,0.08
JV101,JV534,0.106,trial_1,Y,0.106
JV102,JV534,0.021000000000000005,trial_1,Y,0.037000000000000005
JV103,JV534,0.08900000000000001,trial_1,Y,0.08900000000000001
JV104,JV534,0.131,trial_1,Y,0.131
JV105,JV534,0.12400000000000001,trial_1,Y,0.12400000000000001
JV106,JV534,0.05700000000000001,trial_1,Y,0.05700000000000001
JV107,JV534,0.127,trial_1,Y,0.127
JV109,JV534,0.172,trial_1,Y,0.172
JV110,JV534,0.05700000000000001,trial_1,Y,0.05700000000000001
JV112,JV534,0.09999999999999999,trial_1,Y,0.258
JV113,JV534,0.185,trial_1,Y,0.20600000000000002
JV118,JV534,0.031,trial_1,Y,0.09300000000000001
JV119,JV534,0.010000000000000002,trial_1,Y,0.018000000000000002
JV120,JV534,0.036000000000000004,trial_1,Y,0.179
JV121,JV534,0.16999999999999998,trial_1,Y,0.16999999999999998
JV122,JV534,0.013000000000000005,trial_1,Y,0.013000000000000005
JV123,JV534,0.09999999999999999,trial_1,Y,0.09999999999999999
JV124,JV534,0.132,trial_1,Y,0.14400000000000002
JV124,JV537,0.16599999999999998,trial_1,Y,0.16599999999999998
JV97,JV537,0.15300000000000002,trial_1,Y,0.15300000000000002
JV83,JV537,0.14100000000000001,trial_1,Y,0.14100000000000001
JV99,JV537,0.11900000000000001,trial_1,Y,0.199
JV121,JV537,0.113,trial_1,Y,0.27399999999999997
JV107,JV537,0.09900000000000002,trial_1,Y,0.09900000000000002
JV103,JV537,0.09700000000000002,trial_1,Y,0.09700000000000002
JV95,JV537,0.08900000000000001,trial_1,Y,0.08900000000000001
JV78,JV537,0.083,trial_1,Y,0.083
JV100,JV537,0.06700000000000002,trial_1,Y,0.06700000000000002
JV105,JV537,0.06500000000000002,trial_1,Y,0.06500000000000002
JV91,JV537,0.06400000000000002,trial_1,Y,0.084
JV101,JV537,0.06200000000000001,trial_1,Y,0.06200000000000001
JV84,JV537,0.06000000000000001,trial_1,Y,0.06599999999999999
JV123,JV537,0.06000000000000001,trial_1,Y,0.06000000000000001
JV90,JV537,0.05700000000000001,trial_1,Y,0.05700000000000001
JV93,JV537,0.054000000000000006,trial_1,Y,0.09099999999999998
JV109,JV537,0.053000000000000005,trial_1,Y,0.173
JV106,JV537,0.048,trial_1,Y,0.048
JV98,JV537,0.04100000000000001,trial_1,Y,0.04100000000000001
JV79,JV537,0.03,trial_1,Y,0.03
JV112,JV537,0.02800000000000001,trial_1,Y,0.02800000000000001
JV94,JV537,0.022000000000000006,trial_1,Y,0.022000000000000006
JV120,JV537,0.019000000000000003,trial_1,Y,0.019000000000000003
JV80,JV537,0.018000000000000002,trial_1,Y,0.018000000000000002
JV122,JV537,0.017,trial_1,Y,0.017
JV102,JV537,0.016,trial_1,Y,0.016
JV110,JV537,0.015,trial_1,Y,0.019000000000000003
JV1,JV537,0.013000000000000012,trial_1,Y,0.013000000000000012
JV74,JV537,0.01100000000000001,trial_1,Y,0.01100000000000001
JV88,JV537,0.01100000000000001,trial_1,Y,0.013999999999999999
JV82,JV537,0.009000000000000008,trial_1,Y,0.009999999999999995
JV86,JV537,0.009000000000000008,trial_1,Y,0.009000000000000008
JV118,JV537,0.009000000000000008,trial_1,Y,0.049
JV81,JV537,0.006000000000000005,trial_1,Y,0.006999999999999992
JV96,JV537,0.006000000000000005,trial_1,Y,0.006000000000000005
JV104,JV537,0.0050000000000000044,trial_1,Y,0.0050000000000000044
JV119,JV537,0.0050000000000000044,trial_1,Y,0.012999999999999998
JV77,JV537,0.0040000000000000036,trial_1,Y,0.0040000000000000036
JV85,JV537,0.0040000000000000036,trial_1,Y,0.0040000000000000036
JV113,JV537,0.0040000000000000036,trial_1,Y,0.05
JV89,JV537,0.0020000000000000018,trial_1,Y,0.0020000000000000018
JV94,JV540,0.0020000000000000018,trial_1,Y,0.0030000000000000027
JV107,JV540,0.0020000000000000018,trial_1,Y,0.0040000000000000036
JV1,JV540,0.0010000000000000009,trial_1,Y,0.0020000000000000018
JV74,JV540,0.0010000000000000009,trial_1,Y,0.0010000000000000009
JV78,JV540,0.0010000000000000009,trial_1,Y,0.0010000000000000009
JV79,JV540,0.0010000000000000009,trial_1,Y,0.0030000000000000027
JV81,JV540,0.0010000000000000009,trial_1,Y,0.0050000000000000044
JV82,JV540,0.0010000000000000009,trial_1,Y,0.0020000000000000018
JV83,JV540,0.0010000000000000009,trial_1,Y,0.005999999999999998
JV84,JV540,0.0010000000000000009,trial_1,Y,0.0030000000000000027
JV85,JV540,0.0010000000000000009,trial_1,Y,0.006999999999999999
JV88,JV540,0.0010000000000000009,trial_1,Y,0.0030000000000000027
JV90,JV540,0.0010000000000000009,trial_1,Y,0.0030000000000000027
JV91,JV540,0.0010000000000000009,trial_1,Y,0.0040000000000000036
JV93,JV540,0.0010000000000000009,trial_1,Y,0.005999999999999998
JV97,JV540,0.0010000000000000009,trial_1,Y,0.337
JV98,JV540,0.0010000000000000009,trial_1,Y,0.0010000000000000009
JV99,JV540,0.0010000000000000009,trial_1,Y,0.0050000000000000044
JV100,JV540,0.0010000000000000009,trial_1,Y,0.0010000000000000009
JV101,JV540,0.0010000000000000009,trial_1,Y,0.0040000000000000036
JV102,JV540,0.0010000000000000009,trial_1,Y,0.006999999999999999
JV103,JV540,0.0010000000000000009,trial_1,Y,0.0030000000000000027
JV104,JV540,0.0010000000000000009,trial_1,Y,0.0040000000000000036
JV105,JV540,0.0010000000000000009,trial_1,Y,0.0020000000000000018
JV106,JV540,0.0010000000000000009,trial_1,Y,0.0050000000000000044
JV109,JV540,0.0010000000000000009,trial_1,Y,0.0040000000000000036
JV110,JV540,0.0010000000000000009,trial_1,Y,0.0010000000000000009
JV112,JV540,0.0010000000000000009,trial_1,Y,0.0030000000000000027
JV113,JV540,0.0010000000000000009,trial_1,Y,0.005999999999999998
JV118,JV540,0.0010000000000000009,trial_1,Y,0.0030000000000000027
JV119,JV540,0.0010000000000000009,trial_1,Y,0.23500000000000004
JV120,JV540,0.0010000000000000009,trial_1,Y,0.054
JV121,JV540,0.0010000000000000009,trial_1,Y,0.07900000000000001
JV122,JV540,0.0010000000000000009,trial_1,Y,0.0040000000000000036
JV123,JV540,0.0010000000000000009,trial_1,Y,0.005999999999999998
JV124,JV540,0.0010000000000000009,trial_1,Y,0.018999999999999996
JV77,JV540,0,trial_1,Y,0.0030000000000000027
JV80,JV540,0,trial_1,Y,0.0020000000000000018
JV86,JV540,0,trial_1,Y,0.0020000000000000018
JV89,JV540,0,trial_1,Y,0.0020000000000000018
JV95,JV540,0,trial_1,Y,0.005999999999999998
JV96,JV540,0,trial_1,Y,0.0010000000000000009
JV1,JV534,0.29200000000000004,trial_2,Y,0.128
JV74,JV534,0.265,trial_2,Y,0.017
JV77,JV534,0.06199999999999999,trial_2,Y,0.024000000000000007
JV78,JV534,0.328,trial_2,Y,0.08700000000000001
JV79,JV534,0.329,trial_2,Y,0.111
JV80,JV534,0.206,trial_2,Y,0.09300000000000001
JV81,JV534,0.28800000000000003,trial_2,Y,0.08
JV82,JV534,0.07,trial_2,Y,0.062
JV83,JV534,0.306,trial_2,Y,0.08800000000000001
JV84,JV534,0.28400000000000003,trial_2,Y,0.12000000000000001
JV85,JV534,0.10599999999999998,trial_2,Y,0.036000000000000004
JV86,JV534,0.253,trial_2,Y,0.065
JV88,JV534,0.179,trial_2,Y,0.032
JV89,JV534,0.257,trial_2,Y,0.012000000000000004
JV90,JV534,0.252,trial_2,Y,0.081
JV91,JV534,0.306,trial_2,Y,0.114
JV93,JV534,0.266,trial_2,Y,0.12200000000000001
JV94,JV534,0.442,trial_2,Y,0.16599999999999998
JV95,JV534,0.308,trial_2,Y,0.198
JV96,JV534,0.30200000000000005,trial_2,Y,0.017
JV97,JV534,0.334,trial_2,Y,0.137
JV98,JV534,0.275,trial_2,Y,0.131
JV99,JV534,0.39,trial_2,Y,0.28800000000000003
JV100,JV534,0.279,trial_2,Y,0.08
JV101,JV534,0.29500000000000004,trial_2,Y,0.106
JV102,JV534,0.307,trial_2,Y,0.037000000000000005
JV103,JV534,0.29100000000000004,trial_2,Y,0.08900000000000001
JV104,JV534,0.234,trial_2,Y,0.131
JV105,JV534,0.30200000000000005,trial_2,Y,0.12400000000000001
JV106,JV534,0.315,trial_2,Y,0.05700000000000001
JV107,JV534,0.29100000000000004,trial_2,Y,0.127
JV109,JV534,0.35900000000000004,trial_2,Y,0.172
JV110,JV534,0.20299999999999999,trial_2,Y,0.05700000000000001
JV112,JV534,0.258,trial_2,Y,0.258
JV113,JV534,0.307,trial_2,Y,0.20600000000000002
JV118,JV534,0.26,trial_2,Y,0.09300000000000001
JV119,JV534,0.07400000000000001,trial_2,Y,0.018000000000000002
JV120,JV534,0.179,trial_2,Y,0.179
JV121,JV534,0.367,trial_2,Y,0.16999999999999998
JV122,JV534,0.15,trial_2,Y,0.013000000000000005
JV123,JV534,0.24299999999999997,trial_2,Y,0.09999999999999999
JV124,JV534,0.267,trial_2,Y,0.14400000000000002
JV121,JV537,0.27399999999999997,trial_2,Y,0.27399999999999997
JV95,JV537,0.22399999999999998,trial_2,Y,0.08900000000000001
JV99,JV537,0.22399999999999998,trial_2,Y,0.199
JV91,JV537,0.184,trial_2,Y,0.084
JV98,JV537,0.179,trial_2,Y,0.04100000000000001
JV97,JV537,0.178,trial_2,Y,0.15300000000000002
JV109,JV537,0.173,trial_2,Y,0.173
JV1,JV537,0.172,trial_2,Y,0.013000000000000012
JV124,JV537,0.16699999999999998,trial_2,Y,0.16599999999999998
JV83,JV537,0.16399999999999998,trial_2,Y,0.14100000000000001
JV107,JV537,0.15699999999999997,trial_2,Y,0.09900000000000002
JV94,JV537,0.15200000000000002,trial_2,Y,0.022000000000000006
JV123,JV537,0.14400000000000002,trial_2,Y,0.06000000000000001
JV101,JV537,0.14100000000000001,trial_2,Y,0.06200000000000001
JV105,JV537,0.14,trial_2,Y,0.06500000000000002
JV78,JV537,0.134,trial_2,Y,0.083
JV103,JV537,0.127,trial_2,Y,0.09700000000000002
JV90,JV537,0.126,trial_2,Y,0.05700000000000001
JV100,JV537,0.126,trial_2,Y,0.06700000000000002
JV84,JV537,0.12399999999999999,trial_2,Y,0.06599999999999999
JV106,JV537,0.12399999999999999,trial_2,Y,0.048
JV93,JV537,0.114,trial_2,Y,0.09099999999999998
JV112,JV537,0.09799999999999999,trial_2,Y,0.02800000000000001
JV113,JV537,0.085,trial_2,Y,0.05
JV88,JV537,0.082,trial_2,Y,0.013999999999999999
JV102,JV537,0.078,trial_2,Y,0.016
JV79,JV537,0.077,trial_2,Y,0.03
JV80,JV537,0.077,trial_2,Y,0.018000000000000002
JV81,JV537,0.071,trial_2,Y,0.006999999999999992
JV120,JV537,0.06699999999999999,trial_2,Y,0.019000000000000003
JV118,JV537,0.049,trial_2,Y,0.049
JV110,JV537,0.047,trial_2,Y,0.019000000000000003
JV122,JV537,0.047,trial_2,Y,0.017
JV89,JV537,0.040999999999999995,trial_2,Y,0.0020000000000000018
JV104,JV537,0.03899999999999999,trial_2,Y,0.0050000000000000044
JV74,JV537,0.036000000000000004,trial_2,Y,0.01100000000000001
JV86,JV537,0.03,trial_2,Y,0.009000000000000008
JV96,JV537,0.022999999999999993,trial_2,Y,0.006000000000000005
JV82,JV537,0.018000000000000002,trial_2,Y,0.009999999999999995
JV119,JV537,0.012999999999999998,trial_2,Y,0.012999999999999998
JV85,JV537,0.011999999999999997,trial_2,Y,0.0040000000000000036
JV77,JV537,0.007999999999999993,trial_2,Y,0.0040000000000000036
JV78,JV540,0.5549999999999999,trial_2,Y,0.0010000000000000009
JV83,JV540,0.5179999999999999,trial_2,Y,0.005999999999999998
JV113,JV540,0.49600000000000005,trial_2,Y,0.005999999999999998
JV104,JV540,0.454,trial_2,Y,0.0040000000000000036
JV109,JV540,0.442,trial_2,Y,0.0040000000000000036
JV124,JV540,0.442,trial_2,Y,0.018999999999999996
JV95,JV540,0.385,trial_2,Y,0.005999999999999998
JV97,JV540,0.36000000000000004,trial_2,Y,0.337
JV99,JV540,0.329,trial_2,Y,0.0050000000000000044
JV105,JV540,0.309,trial_2,Y,0.0020000000000000018
JV84,JV540,0.278,trial_2,Y,0.0030000000000000027
JV118,JV540,0.276,trial_2,Y,0.0030000000000000027
JV121,JV540,0.237,trial_2,Y,0.07900000000000001
JV119,JV540,0.23500000000000004,trial_2,Y,0.23500000000000004
JV98,JV540,0.21300000000000002,trial_2,Y,0.0010000000000000009
JV112,JV540,0.20400000000000001,trial_2,Y,0.0030000000000000027
JV100,JV540,0.2,trial_2,Y,0.0010000000000000009
JV81,JV540,0.196,trial_2,Y,0.0050000000000000044
JV1,JV540,0.191,trial_2,Y,0.0020000000000000018
JV90,JV540,0.181,trial_2,Y,0.0030000000000000027
JV93,JV540,0.181,trial_2,Y,0.005999999999999998
JV107,JV540,0.179,trial_2,Y,0.0040000000000000036
JV91,JV540,0.17099999999999999,trial_2,Y,0.0040000000000000036
JV103,JV540,0.16499999999999998,trial_2,Y,0.0030000000000000027
JV85,JV540,0.16399999999999998,trial_2,Y,0.006999999999999999
JV89,JV540,0.14900000000000002,trial_2,Y,0.0020000000000000018
JV96,JV540,0.14100000000000001,trial_2,Y,0.0010000000000000009
JV80,JV540,0.134,trial_2,Y,0.0020000000000000018
JV123,JV540,0.127,trial_2,Y,0.005999999999999998
JV79,JV540,0.125,trial_2,Y,0.0030000000000000027
JV110,JV540,0.114,trial_2,Y,0.0010000000000000009
JV122,JV540,0.114,trial_2,Y,0.0040000000000000036
JV106,JV540,0.09699999999999999,trial_2,Y,0.0050000000000000044
JV94,JV540,0.083,trial_2,Y,0.0030000000000000027
JV120,JV540,0.08,trial_2,Y,0.054
JV101,JV540,0.079,trial_2,Y,0.0040000000000000036
JV77,JV540,0.067,trial_2,Y,0.0030000000000000027
JV82,JV540,0.066,trial_2,Y,0.0020000000000000018
JV86,JV540,0.056999999999999995,trial_2,Y,0.0020000000000000018
JV102,JV540,0.054000000000000006,trial_2,Y,0.006999999999999999
JV74,JV540,0.046,trial_2,Y,0.0010000000000000009
JV88,JV540,0.019000000000000003,trial_2,Y,0.0030000000000000027
JV1,JV534,0.112,trial_3,Y,0.128
JV74,JV534,0,trial_3,Y,0.017
JV77,JV534,0.024000000000000007,trial_3,Y,0.024000000000000007
JV78,JV534,0,trial_3,Y,0.08700000000000001
JV79,JV534,0.037000000000000005,trial_3,Y,0.111
JV80,JV534,0.026999999999999996,trial_3,Y,0.09300000000000001
JV81,JV534,0.08,trial_3,Y,0.08
JV82,JV534,0.014000000000000005,trial_3,Y,0.062
JV83,JV534,0.08800000000000001,trial_3,Y,0.08800000000000001
JV84,JV534,0.10099999999999999,trial_3,Y,0.12000000000000001
JV85,JV534,0.036000000000000004,trial_3,Y,0.036000000000000004
JV86,JV534,0.065,trial_3,Y,0.065
JV88,JV534,0.032,trial_3,Y,0.032
JV89,JV534,0.008,trial_3,Y,0.012000000000000004
JV90,JV534,0.076,trial_3,Y,0.081
JV91,JV534,0.09100000000000001,trial_3,Y,0.114
JV93,JV534,0.12200000000000001,trial_3,Y,0.12200000000000001
JV94,JV534,0.16599999999999998,trial_3,Y,0.16599999999999998
JV95,JV534,0.198,trial_3,Y,0.198
JV96,JV534,0.017,trial_3,Y,0.017
JV97,JV534,0.136,trial_3,Y,0.137
JV98,JV534,0.069,trial_3,Y,0.131
JV99,JV534,0.28800000000000003,trial_3,Y,0.28800000000000003
JV100,JV534,0.036000000000000004,trial_3,Y,0.08
JV101,JV534,0.078,trial_3,Y,0.106
JV102,JV534,0.037000000000000005,trial_3,Y,0.037000000000000005
JV103,JV534,0.082,trial_3,Y,0.08900000000000001
JV104,JV534,0.08600000000000001,trial_3,Y,0.131
JV105,JV534,0.113,trial_3,Y,0.12400000000000001
JV106,JV534,0.047,trial_3,Y,0.05700000000000001
JV107,JV534,0.09300000000000001,trial_3,Y,0.127
JV109,JV534,0.15600000000000003,trial_3,Y,0.172
JV110,JV534,0.052000000000000005,trial_3,Y,0.05700000000000001
JV112,JV534,0.29600000000000004,trial_3,Y,0.258
JV113,JV534,0.20600000000000002,trial_3,Y,0.20600000000000002
JV118,JV534,0.09300000000000001,trial_3,Y,0.09300000000000001
JV119,JV534,0.018000000000000002,trial_3,Y,0.018000000000000002
JV120,JV534,0.22600000000000003,trial_3,Y,0.179
JV121,JV534,0.053000000000000005,trial_3,Y,0.16999999999999998
JV122,JV534,0.009000000000000001,trial_3,Y,0.013000000000000005
JV123,JV534,0.085,trial_3,Y,0.09999999999999999
JV124,JV534,0.14400000000000002,trial_3,Y,0.14400000000000002
JV1,JV537,0.002999999999999989,trial_3,Y,0.013000000000000012
JV74,JV537,0.001999999999999988,trial_3,Y,0.01100000000000001
JV77,JV537,0.0010000000000000009,trial_3,Y,0.0040000000000000036
JV78,JV537,0.001999999999999988,trial_3,Y,0.083
JV79,JV537,0.018000000000000002,trial_3,Y,0.03
JV80,JV537,0.002999999999999989,trial_3,Y,0.018000000000000002
JV81,JV537,0.006999999999999992,trial_3,Y,0.006999999999999992
JV82,JV537,0.009999999999999995,trial_3,Y,0.009999999999999995
JV83,JV537,0.133,trial_3,Y,0.14100000000000001
JV84,JV537,0.06599999999999999,trial_3,Y,0.06599999999999999
JV85,JV537,0.001999999999999988,trial_3,Y,0.0040000000000000036
JV86,JV537,0.00399999999999999,trial_3,Y,0.009000000000000008
JV88,JV537,0.013999999999999999,trial_3,Y,0.013999999999999999
JV89,JV537,0,trial_3,Y,0.0020000000000000018
JV90,JV537,0.017,trial_3,Y,0.05700000000000001
JV91,JV537,0.084,trial_3,Y,0.084
JV93,JV537,0.09099999999999998,trial_3,Y,0.09099999999999998
JV94,JV537,0.0049999999999999906,trial_3,Y,0.022000000000000006
JV95,JV537,0.012999999999999998,trial_3,Y,0.08900000000000001
JV96,JV537,0.001999999999999988,trial_3,Y,0.006000000000000005
JV97,JV537,0.03399999999999999,trial_3,Y,0.15300000000000002
JV98,JV537,0.00399999999999999,trial_3,Y,0.04100000000000001
JV99,JV537,0.199,trial_3,Y,0.199
JV100,JV537,0.03499999999999999,trial_3,Y,0.06700000000000002
JV101,JV537,0.013999999999999999,trial_3,Y,0.06200000000000001
JV102,JV537,0.002999999999999989,trial_3,Y,0.016
JV103,JV537,0.010999999999999996,trial_3,Y,0.09700000000000002
JV104,JV537,0,trial_3,Y,0.0050000000000000044
JV105,JV537,0,trial_3,Y,0.06500000000000002
JV106,JV537,0,trial_3,Y,0.048
JV107,JV537,0.0059999999999999915,trial_3,Y,0.09900000000000002
JV109,JV537,0.186,trial_3,Y,0.173
JV110,JV537,0.019000000000000003,trial_3,Y,0.019000000000000003
JV112,JV537,0.011999999999999997,trial_3,Y,0.02800000000000001
JV113,JV537,0.05,trial_3,Y,0.05
JV118,JV537,0.14500000000000002,trial_3,Y,0.049
JV119,JV537,0.012999999999999998,trial_3,Y,0.012999999999999998
JV120,JV537,0,trial_3,Y,0.019000000000000003
JV121,JV537,0.354,trial_3,Y,0.27399999999999997
JV122,JV537,0.0059999999999999915,trial_3,Y,0.017
JV123,JV537,0,trial_3,Y,0.06000000000000001
JV124,JV537,0.006999999999999992,trial_3,Y,0.16599999999999998
