"","sample","OD_695","pyo_ug_mL","trial","label","median_OD_695","median_pyo_ug_mL"
"1","std1",2.889,500,"trial_1","std",2.565,500
"2","std2",1.678,250,"trial_1","std",1.455,250
"3","std3",0.755,125,"trial_1","std",0.755,125
"4","std4",0.418,62.5,"trial_1","std",0.418,62.5
"5","std5",0.204,31.25,"trial_1","std",0.204,31.25
"6","std6",0.099,15.625,"trial_1","std",0.099,15.625
"7","std7",0.049,7.8125,"trial_1","std",0.049,7.8125
"8","std8",0.024,3.90625,"trial_1","std",0.024,3.90625
"9","JV3",0.026,4.08860370675876,"trial_1","JV3",0.026,4.02343538800956
"10","JV4",0.098,15.4849479823254,"trial_1","JV4",0.098,15.4849479823254
"11","JV5",0.11,17.3883195428111,"trial_1","JV5",0.096,17.3883195428111
"12","PA01",0.023,3.61523996821992,"trial_1","PA01",0.002,0.272173241254426
"13","Pa14",0.131,20.7209838864091,"trial_1","Pa14",0.131,20.7209838864091
"14","std1",2.497,500,"trial_2","std",2.565,500
"15","std2",1.342,250,"trial_2","std",1.455,250
"16","std3",0.639,125,"trial_2","std",0.755,125
"17","std4",0.362,62.5,"trial_2","std",0.418,62.5
"18","std5",0.171,31.25,"trial_2","std",0.204,31.25
"19","std6",0.084,15.625,"trial_2","std",0.099,15.625
"20","std7",0.042,7.8125,"trial_2","std",0.049,7.8125
"21","std8",0.018,3.90625,"trial_2","std",0.024,3.90625
"22","JV3",0.021,3.25514239820413,"trial_2","JV3",0.026,4.02343538800956
"23","JV4",0.095,14.5524597803399,"trial_2","JV4",0.098,15.4849479823254
"24","JV5",0.096,14.7044366531376,"trial_2","JV5",0.096,17.3883195428111
"25","PA01",0.001,0.158750227589431,"trial_2","PA01",0.002,0.272173241254426
"26","Pa14",0.114,17.438014114113,"trial_2","Pa14",0.131,20.7209838864091
"27","std1",2.565,500,"trial_3","std",2.565,500
"28","std2",1.455,250,"trial_3","std",1.455,250
"29","std3",0.838,125,"trial_3","std",0.755,125
"30","std4",0.441,62.5,"trial_3","std",0.418,62.5
"31","std5",0.255,31.25,"trial_3","std",0.204,31.25
"32","std6",0.12,15.625,"trial_3","std",0.099,15.625
"33","std7",0.065,7.8125,"trial_3","std",0.049,7.8125
"34","std8",0.035,3.90625,"trial_3","std",0.024,3.90625
"35","JV3",0.026,4.02343538800956,"trial_3","JV3",0.026,4.02343538800956
"36","JV4",0.106,23.2358199851941,"trial_3","JV4",0.098,15.4849479823254
"37","JV5",0.09,19.344697840561,"trial_3","JV5",0.096,17.3883195428111
"38","PA01",0.002,0.272173241254426,"trial_3","PA01",0.002,0.272173241254426
"39","Pa14",0.163,37.6252113013257,"trial_3","Pa14",0.131,20.7209838864091
