"","mouse","sex","vendor","inoculum","media","CFU_per_mL","fold_change","log_CI","trial","log_fold_change","log_CFU_per_mL","mean_log_fold_change","mean_log_CFU_per_mL","inoc_vendor"
"1","M1094","m","jax","JV1_JV450","LB_rif",3.6e+08,69.2307692307692,-1.30946316320084,"trial_1",1.84029915713249,8.55630250076729,119.951018131135,8.39430532962317,"JV1_JV450_jax"
"2","M1095","m","jax","JV1_JV450","LB_rif",5.2e+08,866.666666666667,-1.39794000867204,"trial_1",2.93785209325116,8.7160033436348,119.951018131135,8.39430532962317,"JV1_JV450_jax"
"3","M1096","m","jax","JV1_JV450","LB_rif",3.8e+08,59.375,-1.22639637736708,"trial_1",1.77360362263292,8.57978359661681,119.951018131135,8.39430532962317,"JV1_JV450_jax"
"4","M1097","m","jax","JV1_JV450","LB_rif",5.6e+08,155.555555555556,-0.972924722407079,"trial_1",2.19188552623891,8.7481880270062,119.951018131135,8.39430532962317,"JV1_JV450_jax"
"5","M1098","m","jax","JV1_JV450","LB_rif",4e+08,74.0740740740741,-2.63093611906419,"trial_1",1.86966623150499,8.60205999132796,119.951018131135,8.39430532962317,"JV1_JV450_jax"
"6","M1099","m","cr","JV1_JV450","LB_rif",2.2e+08,31.4285714285714,-1.77374213147859,"trial_1",1.49732464080795,8.34242268082221,119.951018131135,8.39430532962317,"JV1_JV450_cr"
"7","M1100","m","cr","JV1_JV450","LB_rif",3e+08,35.7142857142857,-1.54406804435028,"trial_1",1.55284196865778,8.47712125471966,119.951018131135,8.39430532962317,"JV1_JV450_cr"
"8","M1101","m","cr","JV1_JV450","LB_rif",3.6e+08,51.4285714285714,-1.49592103204262,"trial_1",1.71120446075303,8.55630250076729,119.951018131135,8.39430532962317,"JV1_JV450_cr"
"9","M1102","m","cr","JV1_JV450","LB_rif",4.4e+07,8.14814814814815,-1.87808771802189,"trial_1",0.911058916663219,7.64345267648619,119.951018131135,8.39430532962317,"JV1_JV450_cr"
"10","M1103","m","cr","JV1_JV450","LB_rif",4.6e+07,10,-1.8372727025023,"trial_1",1,7.66275783168157,119.951018131135,8.39430532962317,"JV1_JV450_cr"
"11","M1094","m","jax","JV1_JV450","Pa",4.8e+09,1411.76470588235,NA,"trial_1",3.14976232033333,9.68124123737559,5551.15622301514,9.47815081120972,"JV1_JV450_jax"
"12","M1095","m","jax","JV1_JV450","Pa",5.2e+10,21666.6666666667,NA,"trial_1",4.33579210192319,10.7160033436348,5551.15622301514,9.47815081120972,"JV1_JV450_jax"
"13","M1096","m","jax","JV1_JV450","Pa",3.8e+09,1000,NA,"trial_1",3,9.57978359661681,5551.15622301514,9.47815081120972,"JV1_JV450_jax"
"14","M1097","m","jax","JV1_JV450","Pa",3.8e+09,1461.53846153846,NA,"trial_1",3.16481024864599,9.57978359661681,5551.15622301514,9.47815081120972,"JV1_JV450_jax"
"15","M1098","m","jax","JV1_JV450","Pa",7.6e+10,31666.6666666667,NA,"trial_1",4.50060235056919,10.8808135922808,5551.15622301514,9.47815081120972,"JV1_JV450_jax"
