"","mouse","sex","vendor","inoculum","media","CFU_per_mL","fold_change","log_CI","trial","log_fold_change","log_CFU_per_mL","mean_log_fold_change","mean_log_CFU_per_mL","inoc_vendor"
"1","M1094","m","jax","JV1_JV450","LB_rif",2e+08,35.7142857142857,-1.58733673450726,"trial_1",1.55284196865778,8.30102999566398,1.41088756538172,7.99550902347906,"JV1_JV450_jax"
"2","M1095","m","jax","JV1_JV450","LB_rif",2e+08,90.9090909090909,-1.51851393987789,"trial_1",1.95860731484177,8.30102999566398,1.41088756538172,7.99550902347906,"JV1_JV450_jax"
"3","M1096","m","jax","JV1_JV450","LB_rif",3e+08,88.2352941176471,-1.49369035615286,"trial_1",1.94564233767741,8.47712125471966,1.41088756538172,7.99550902347906,"JV1_JV450_jax"
"4","M1097","m","jax","JV1_JV450","LB_rif",1.2e+08,23.0769230769231,-1.98527674317929,"trial_1",1.36317790241283,8.07918124604763,1.41088756538172,7.99550902347906,"JV1_JV450_jax"
"5","M1098","m","jax","JV1_JV450","LB_rif",6e+08,150,2.07918124604763,"trial_1",2.17609125905568,8.77815125038364,1.41088756538172,7.99550902347906,"JV1_JV450_jax"
"6","M1099","m","cr","JV1_JV450","LB_rif",2.8e+08,53.8461538461538,-1.30360741855179,"trial_1",1.73115468770742,8.44715803134222,1.41088756538172,7.99550902347906,"JV1_JV450_cr"
"7","M1100","m","cr","JV1_JV450","LB_rif",3e+08,57.6923076923077,-1.56339318042864,"trial_1",1.76111791108486,8.47712125471966,1.41088756538172,7.99550902347906,"JV1_JV450_cr"
"8","M1101","m","cr","JV1_JV450","LB_rif",6e+08,150,2.05115252244738,"trial_1",2.17609125905568,8.77815125038364,1.41088756538172,7.99550902347906,"JV1_JV450_cr"
"9","M1102","m","cr","JV1_JV450","LB_rif",2.8e+08,58.3333333333333,-1.23408320603337,"trial_1",1.76591679396663,8.44715803134222,1.41088756538172,7.99550902347906,"JV1_JV450_cr"
"10","M1103","m","cr","JV1_JV450","LB_rif",2.8e+08,60.8695652173913,-1.35390249850564,"trial_1",1.78440019966065,8.44715803134222,1.41088756538172,7.99550902347906,"JV1_JV450_cr"
"11","M1094","m","jax","JV1_JV450","Pa",5.8e+09,1380.95238095238,NA,"trial_1",3.14017870316504,9.76342799356294,2.9339453719048,9.34697934979423,"JV1_JV450_jax"
"12","M1095","m","jax","JV1_JV450","Pa",4.8e+09,3000,NA,"trial_1",3.47712125471966,9.68124123737559,2.9339453719048,9.34697934979423,"JV1_JV450_jax"
"13","M1096","m","jax","JV1_JV450","Pa",4.4e+09,2750,NA,"trial_1",3.43933269383026,9.64345267648619,2.9339453719048,9.34697934979423,"JV1_JV450_jax"
"14","M1097","m","jax","JV1_JV450","Pa",5.8e+09,2230.76923076923,NA,"trial_1",3.34845464559212,9.76342799356294,2.9339453719048,9.34697934979423,"JV1_JV450_jax"
"15","M1098","m","jax","JV1_JV450","Pa",2e+06,1.25,NA,"trial_1",0.0969100130080564,6.30102999566398,2.9339453719048,9.34697934979423,"JV1_JV450_jax"
"16","M1099","m","cr","JV1_JV450","Pa",2.6e+09,1083.33333333333,NA,"trial_1",3.03476210625921,9.41497334797082,2.9339453719048,9.34697934979423,"JV1_JV450_cr"
"17","M1100","m","cr","JV1_JV450","Pa",3.8e+09,2111.11111111111,NA,"trial_1",3.3245110915135,9.57978359661681,2.9339453719048,9.34697934979423,"JV1_JV450_cr"
"18","M1101","m","cr","JV1_JV450","Pa",2400000,1.33333333333333,NA,"trial_1",0.1249387366083,6.38021124171161,2.9339453719048,9.34697934979423,"JV1_JV450_cr"
"19","M1102","m","cr","JV1_JV450","Pa",2.4e+09,1000,NA,"trial_1",3,9.38021124171161,2.9339453719048,9.34697934979423,"JV1_JV450_cr"
"20","M1103","m","cr","JV1_JV450","Pa",2.2e+09,1375,NA,"trial_1",3.13830269816628,9.34242268082221,2.9339453719048,9.34697934979423,"JV1_JV450_cr"
"21","M1094","m","jax","JV1_JV462","LB_rif",3.6e+08,47.3684210526316,-2.54256685211272,"trial_1",1.6754889084865,8.55630250076729,2.14544094725107,8.85818635877678,"JV1_JV462_jax"
"22","M1095","m","jax","JV1_JV462","LB_rif",4.2e+08,91.3043478260869,-0.817659791667317,"trial_1",1.96049145871633,8.6232492903979,2.14544094725107,8.85818635877678,"JV1_JV462_jax"
"23","M1096","m","jax","JV1_JV462","LB_rif",2.4e+09,387.096774193548,-0.12963385781668,"trial_1",2.58781955221335,9.38021124171161,2.14544094725107,8.85818635877678,"JV1_JV462_jax"
"24","M1097","m","jax","JV1_JV462","LB_rif",4e+08,71.4285714285714,-0.865301426102544,"trial_1",1.85387196432176,8.60205999132796,2.14544094725107,8.85818635877678,"JV1_JV462_jax"
"25","M1098","m","jax","JV1_JV462","LB_rif",4e+09,666.666666666667,3.14841983245782,"trial_1",2.82390874094432,9.60205999132796,2.14544094725107,8.85818635877678,"JV1_JV462_jax"
"26","M1099","m","cr","JV1_JV462","LB_rif",3.6e+08,81.8181818181818,2.1124221791863,"trial_1",1.9128498242811,8.55630250076729,2.14544094725107,8.85818635877678,"JV1_JV462_cr"
"27","M1100","m","cr","JV1_JV462","LB_rif",2.8e+08,34.1463414634146,-1.35271246873466,"trial_1",1.5333441789585,8.44715803134222,2.14544094725107,8.85818635877678,"JV1_JV462_cr"
"28","M1101","m","cr","JV1_JV462","LB_rif",3.6e+08,69.2307692307692,2.08333720581878,"trial_1",1.84029915713249,8.55630250076729,2.14544094725107,8.85818635877678,"JV1_JV462_cr"
"29","M1102","m","cr","JV1_JV462","LB_rif",4.4e+08,78.5714285714286,-1.00782533751196,"trial_1",1.89526464947999,8.64345267648619,2.14544094725107,8.85818635877678,"JV1_JV462_cr"
"30","M1103","m","cr","JV1_JV462","LB_rif",3.2e+09,800,-0.248177688338706,"trial_1",2.90308998699194,9.50514997831991,2.14544094725107,8.85818635877678,"JV1_JV462_cr"
"31","M1094","m","jax","JV1_JV462","Pa",7.6e+10,16521.7391304348,NA,"trial_1",4.21805576059922,10.8808135922808,2.56652409199144,9.14622964529792,"JV1_JV462_jax"
"32","M1095","m","jax","JV1_JV462","Pa",3e+09,600,NA,"trial_1",2.77815125038364,9.47712125471966,2.56652409199144,9.14622964529792,"JV1_JV462_jax"
"33","M1096","m","jax","JV1_JV462","Pa",2.4e+09,521.739130434783,NA,"trial_1",2.71745341003003,9.38021124171161,2.56652409199144,9.14622964529792,"JV1_JV462_jax"
"34","M1097","m","jax","JV1_JV462","Pa",2.2e+09,523.809523809524,NA,"trial_1",2.71917339042431,9.34242268082221,2.56652409199144,9.14622964529792,"JV1_JV462_jax"
"35","M1098","m","jax","JV1_JV462","Pa",1800000,0.473684210526316,NA,"trial_1",-0.324511091513504,6.25527250510331,2.56652409199144,9.14622964529792,"JV1_JV462_jax"
"36","M1099","m","cr","JV1_JV462","Pa",2400000,0.631578947368421,NA,"trial_1",-0.199572354905204,6.38021124171161,2.56652409199144,9.14622964529792,"JV1_JV462_cr"
"37","M1100","m","cr","JV1_JV462","Pa",4e+09,769.230769230769,NA,"trial_1",2.88605664769316,9.60205999132796,2.56652409199144,9.14622964529792,"JV1_JV462_cr"
"38","M1101","m","cr","JV1_JV462","Pa",2400000,0.571428571428571,NA,"trial_1",-0.243038048686294,6.38021124171161,2.56652409199144,9.14622964529792,"JV1_JV462_cr"
"39","M1102","m","cr","JV1_JV462","Pa",2.4e+09,800,NA,"trial_1",2.90308998699194,9.38021124171161,2.56652409199144,9.14622964529792,"JV1_JV462_cr"
"40","M1103","m","cr","JV1_JV462","Pa",3.4e+09,1416.66666666667,NA,"trial_1",3.15126767533065,9.53147891704226,2.56652409199144,9.14622964529792,"JV1_JV462_cr"
"41","M1104","m","cr","JV1_JV450","LB_rif",4400000,1.22222222222222,-2.87663765162665,"trial_2",0.0871501757189002,6.64345267648619,1.41088756538172,7.99550902347906,"JV1_JV450_cr"
"42","M1105","m","cr","JV1_JV450","LB_rif",5.6e+07,13.3333333333333,-1.6754889084865,"trial_2",1.1249387366083,7.7481880270062,1.41088756538172,7.99550902347906,"JV1_JV450_cr"
"43","M1106","m","cr","JV1_JV450","LB_rif",2.4e+09,1000,0.0579919469776866,"trial_2",3,9.38021124171161,1.41088756538172,7.99550902347906,"JV1_JV450_cr"
"44","M1107","m","jax","JV1_JV450","LB_rif",3e+08,136.363636363636,-1.22702926212014,"trial_2",2.13469857389746,8.47712125471966,1.41088756538172,7.99550902347906,"JV1_JV450_jax"
"45","M1108","m","jax","JV1_JV450","LB_rif",7e+07,20.5882352941176,-2.49256085101189,"trial_2",1.313619122972,7.84509804001426,1.41088756538172,7.99550902347906,"JV1_JV450_jax"
"46","M1104","m","cr","JV1_JV450","Pa",4.6e+09,920,NA,"trial_2",2.96378782734556,9.66275783168157,2.9339453719048,9.34697934979423,"JV1_JV450_cr"
"47","M1105","m","cr","JV1_JV450","Pa",2.4e+09,631.578947368421,NA,"trial_2",2.8004276450948,9.38021124171161,2.9339453719048,9.34697934979423,"JV1_JV450_cr"
