"","Strain","Media","Condition","CFU_per_mL","Log_CI","Pa_strain","log_CFU_per_mL","mean_log_CFU_per_mL"
"1","JV1","LB_rif_30","JV1_M1076",280000,NA,"none",5.44715803134222,6.22035161372084
"2","JV1","LB_rif_30","JV1_M1077",3800000,NA,"none",6.57978359661681,6.22035161372084
"3","JV1","LB_rif_30","JV1_M1078",4400000,NA,"none",6.64345267648619,6.22035161372084
"4","JV1","LB_rif_30","JV1_M1079",540000,NA,"none",5.73239375982297,6.22035161372084
"5","JV1","LB_rif_30","JV1_M1080",5e+06,NA,"none",6.69897000433602,6.22035161372084
"6","JV1","LB_rif_30","JV1_JV3_M1076",4e+05,NA,"JV3",5.60205999132796,6.5154785042361
"7","JV1","LB_rif_30","JV1_JV3_M1077",540000,NA,"JV3",5.73239375982297,6.5154785042361
"8","JV1","LB_rif_30","JV1_JV3_M1078",5400000,NA,"JV3",6.73239375982297,6.5154785042361
"9","JV1","LB_rif_30","JV1_JV3_M1079",1.8e+07,NA,"JV3",7.2552725051033,6.5154785042361
"10","JV1","LB_rif_30","JV1_JV3_M1080",1.8e+07,NA,"JV3",7.2552725051033,6.5154785042361
"11","JV3","Pa_agar","JV1_JV3_M1076",10000,-1.60205999132796,"JV3",4,5.5517944834056
"12","JV3","Pa_agar","JV1_JV3_M1077",460000,-0.0696359281413944,"JV3",5.66275783168157,5.5517944834056
"13","JV3","Pa_agar","JV1_JV3_M1078",2e+06,-0.431363764158987,"JV3",6.30102999566398,5.5517944834056
"14","JV3","Pa_agar","JV1_JV3_M1079",260000,-1.84029915713249,"JV3",5.41497334797082,5.5517944834056
"15","JV3","Pa_agar","JV1_JV3_M1080",2400000,-0.8750612633917,"JV3",6.38021124171161,5.5517944834056
"16","JV1","LB_rif_30","JV1_JV4_M1076",5200000,NA,"JV4",6.7160033436348,7.52964020406846
"17","JV1","LB_rif_30","JV1_JV4_M1077",8400000,NA,"JV4",6.92427928606188,7.52964020406846
"18","JV1","LB_rif_30","JV1_JV4_M1078",13400000,NA,"JV4",7.12710479836481,7.52964020406846
"19","JV1","LB_rif_30","JV1_JV4_M1079",3.8e+08,NA,"JV4",8.57978359661681,7.52964020406846
"20","JV1","LB_rif_30","JV1_JV4_M1080",2e+08,NA,"JV4",8.30102999566398,7.52964020406846
"21","JV4","Pa_agar","JV1_JV4_M1076",580000,-0.952575350071862,"JV4",5.76342799356294,6.75820444107783
"22","JV4","Pa_agar","JV1_JV4_M1077",2e+06,-0.6232492903979,"JV4",6.30102999566398,6.75820444107783
"23","JV4","Pa_agar","JV1_JV4_M1078",4e+06,-0.525044807036845,"JV4",6.60205999132796,6.75820444107783
"24","JV4","Pa_agar","JV1_JV4_M1079",7.4e+08,0.289448123114166,"JV4",8.86923171973098,6.75820444107783
"25","JV4","Pa_agar","JV1_JV4_M1080",1800000,-2.04575749056068,"JV4",6.25527250510331,6.75820444107783
"26","JV1","LB_rif_30","JV1_JV5_M1076",3e+06,NA,"JV5",6.47712125471966,7.18554796363428
"27","JV1","LB_rif_30","JV1_JV5_M1077",2800000,NA,"JV5",6.44715803134222,7.18554796363428
"28","JV1","LB_rif_30","JV1_JV5_M1078",7.2e+07,NA,"JV5",7.85733249643127,7.18554796363428
"29","JV1","LB_rif_30","JV1_JV5_M1079",2.8e+08,NA,"JV5",8.44715803134222,7.18554796363428
"30","JV1","LB_rif_30","JV1_JV5_M1080",5e+06,NA,"JV5",6.69897000433602,7.18554796363428
"31","JV5","Pa_agar","JV1_JV5_M1076",220000,-1.13469857389746,"JV5",5.34242268082221,6.79591521042575
"32","JV5","Pa_agar","JV1_JV5_M1077",2200000,-0.104735350520013,"JV5",6.34242268082221,6.79591521042575
"33","JV5","Pa_agar","JV1_JV5_M1078",4.4e+09,1.78612018005492,"JV5",9.64345267648619,6.79591521042575
"34","JV5","Pa_agar","JV1_JV5_M1079",2800000,-2,"JV5",6.44715803134222,6.79591521042575
"35","JV5","Pa_agar","JV1_JV5_M1080",1600000,-0.494850021680094,"JV5",6.20411998265593,6.79591521042575
