"","Media","Strain","Trial","OD600"
"1","LB","JV74","trial_1",1.593
"2","LB","JV75","trial_1",1.585
"3","LB","JV76","trial_1",1.102
"4","LB","JV77","trial_1",0.789
"5","LB","JV79","trial_1",1.344
"6","LB","JV78","trial_1",1.591
"7","LB","JV80","trial_1",1.599
"8","LB","JV81","trial_1",1.59
"9","LB","JV82","trial_1",1.67
"10","LB","JV83","trial_1",1.737
"11","LB","JV84","trial_1",0.803
"12","LB","JV85","trial_1",0.692
"13","LB","JV86","trial_1",0.733
"14","LB","JV87","trial_1",0.665
"15","LB","JV88","trial_1",0.738
"16","LB","JV89","trial_1",0.785
"17","LB","JV90","trial_1",1.162
"18","LB","JV91","trial_1",1.676
"19","LB","JV92","trial_1",1.648
"20","LB","JV93","trial_1",0.747
"21","LB","JV94","trial_1",1.638
"22","LB","JV95","trial_1",0.768
"23","LB","JV96","trial_1",0.715
"24","LB","JV97","trial_1",0.767
"25","LB","JV98","trial_1",0.799
"26","LB","JV99","trial_1",1.54
"27","LB","JV100","trial_1",1.603
"28","LB","JV101","trial_1",1.446
"29","LB","JV102","trial_1",2.166
"30","LB","JV103","trial_1",1.613
"31","LB","JV104","trial_1",2.037
"32","LB","JV105","trial_1",2.071
"33","LB","JV106","trial_1",1.954
"34","LB","JV107","trial_1",1.575
"35","LB","JV109","trial_1",1.515
"36","LB","JV110","trial_1",1.668
"37","LB","JV111","trial_1",1.682
"38","LB","JV112","trial_1",2.119
"39","LB","JV113","trial_1",1.417
"40","LB","JV114","trial_1",1.278
"41","LB","JV115","trial_1",1.162
"42","LB","JV116","trial_1",2.113
"43","LB","JV117","trial_1",1.64
"44","LB","JV118","trial_1",2.031
"45","LB","JV119","trial_1",2.019
"46","LB","JV120","trial_1",2.114
"47","LB","JV121","trial_1",2.082
"48","LB","JV122","trial_1",1.912
"49","LB","JV123","trial_1",1.612
"50","LB","JV124","trial_1",1.65
"51","LB","JV125","trial_1",1.839
"52","LB","JV126","trial_1",1.366
"53","LB","JV127","trial_1",1.698
"54","LB","JV128","trial_1",1.614
"55","LB","JV129","trial_1",1.685
"56","LB","JV130","trial_1",1.655
"57","LB","JV131","trial_1",2.025
"58","LB","JV132","trial_1",2.034
"59","LB","JV133","trial_1",1.911
"60","LB","JV134","trial_1",1.726
"61","LB","JV135","trial_1",2.09
"62","LB","JV136","trial_1",1.709
