"","Time","strain","OD600","trial","mean_OD600","sem_OD600"
"1",0,"Pa14_51430",0.016,"trial_1",0.0035,0.00611691643450086
"2",0,"Pa14_16930",0.019,"trial_1",0.02525,0.0128281916106675
"3",0,"Pa14_09810",0.027,"trial_1",0.019,0.00860232526704263
"4",0,"Pa14_64590",0.016,"trial_1",0.00725,0.00525
"5",0,"Pa14_05300",0.021,"trial_1",0.015,0.00633771778061052
"6",0,"Pa14_18520",0.023,"trial_1",0.0075,0.00718215380880508
"7",0,"Pa14_01960",0.001,"trial_1",0.0045,0.00455521678957215
"8",0,"Pa14_09480",0.028,"trial_1",0.018,0.00863133825081603
"9",0,"Pa14_19120",0.033,"trial_1",0.01,0.00809320702811932
"10",0,"Pa14_48650",0.031,"trial_1",0.01225,0.00679920338471108
"11",0,"Pa14_58770",0.008,"trial_1",0.006,0.00279880927062444
"12",0,"Pa14_06570",0.01,"trial_1",0.00725,0.00495605690039975
"13",0,"Pa14_32750",0.019,"trial_1",0.005,0.00577350269189626
"14",0,"Pa14_62830",0.02,"trial_1",0.01325,0.00268871096748361
"15",0,"Pa14_17250",0.003,"trial_1",0.00675,0.00447911821679223
"16",0,"Pa14_20440",0.001,"trial_1",0.00675,0.00488833645868749
"17",0,"Pa14_68350",0.016,"trial_1",0.0115,0.00607590871118606
"18",0,"Pa14_72840",0.017,"trial_1",0.01675,0.00498957245997423
"19",0,"Pa14",0.006,"trial_1",0.0075,0.0075773786144462
"20",0.25,"Pa14_51430",0.016,"trial_1",0.0025,0.00646142399166004
"21",0.25,"Pa14_16930",0.019,"trial_1",0.023,0.0126688594593199
"22",0.25,"Pa14_09810",0.025,"trial_1",0.01775,0.00852813969554127
"23",0.25,"Pa14_64590",0.014,"trial_1",0.0065,0.00523609269080167
"24",0.25,"Pa14_05300",0.021,"trial_1",0.01475,0.00705189099934668
"25",0.25,"Pa14_18520",0.024,"trial_1",0.00675,0.00785679111766799
"26",0.25,"Pa14_01960",0,"trial_1",0.004,0.00474341649025257
"27",0.25,"Pa14_09480",0.027,"trial_1",0.01875,0.0100363921140351
"28",0.25,"Pa14_19120",0.033,"trial_1",0.00775,0.00891978138745564
"29",0.25,"Pa14_48650",0.03,"trial_1",0.013,0.00669576980886689
"30",0.25,"Pa14_58770",0.007,"trial_1",0.0055,0.00272335577306137
"31",0.25,"Pa14_06570",0.014,"trial_1",0.00825,0.00534438958160799
"32",0.25,"Pa14_32750",0.02,"trial_1",0.00525,0.00635577165522278
"33",0.25,"Pa14_62830",0.019,"trial_1",0.012,0.00302765035409749
"34",0.25,"Pa14_17250",0.002,"trial_1",0.006,0.00432049379893857
"35",0.25,"Pa14_20440",0.001,"trial_1",0.006,0.00456435464587638
"36",0.25,"Pa14_68350",0.016,"trial_1",0.01025,0.00652399417534994
"37",0.25,"Pa14_72840",0.016,"trial_1",0.01525,0.00512144185426982
"38",0.25,"Pa14",0.005,"trial_1",0.00625,0.00737535309889183
"39",0.5,"Pa14_51430",0.008,"trial_1",-0.000249999999999999,0.00545244593431853
"40",0.5,"Pa14_16930",0.012,"trial_1",0.01975,0.0127826379645726
"41",0.5,"Pa14_09810",0.019,"trial_1",0.01625,0.00784617741323761
"42",0.5,"Pa14_64590",0.009,"trial_1",0.006,0.00470814896394185
"43",0.5,"Pa14_05300",0.013,"trial_1",0.00925,0.00426956281914983
"44",0.5,"Pa14_18520",0.017,"trial_1",0.004,0.00601387285088957
"45",0.5,"Pa14_01960",-0.006,"trial_1",0.00075,0.00426956281914983
"46",0.5,"Pa14_09480",0.019,"trial_1",0.0165,0.00907836255426421
"47",0.5,"Pa14_19120",0.025,"trial_1",0.0045,0.00733143914930759
"48",0.5,"Pa14_48650",0.032,"trial_1",0.01425,0.00728440114216673
"49",0.5,"Pa14_58770",0.005,"trial_1",0.0045,0.00272335577306137
"50",0.5,"Pa14_06570",0.013,"trial_1",0.00675,0.00508879488025734
"51",0.5,"Pa14_32750",0.013,"trial_1",0.00475,0.00601906692658145
"52",0.5,"Pa14_62830",0.012,"trial_1",0.00975,0.00165201896679992
"53",0.5,"Pa14_17250",-0.005,"trial_1",0.00225,0.0039024564913227
"54",0.5,"Pa14_20440",-0.003,"trial_1",0.00175,0.00335099487714718
"55",0.5,"Pa14_68350",0.009,"trial_1",0.00775,0.00599131315600623
"56",0.5,"Pa14_72840",0.022,"trial_1",0.0195,0.00560505724026675
"57",0.5,"Pa14",0.007,"trial_1",0.00675,0.00736404553670513
"58",0.75,"Pa14_51430",0.003,"trial_1",-0.00325,0.00529740502510427
"59",0.75,"Pa14_16930",0.007,"trial_1",0.0195,0.0140860451038134
"60",0.75,"Pa14_09810",0.016,"trial_1",0.01625,0.00779289206050402
"61",0.75,"Pa14_64590",0.005,"trial_1",0.005,0.00441588043316392
"62",0.75,"Pa14_05300",0.005,"trial_1",0.00575,0.00286865241300975
"63",0.75,"Pa14_18520",0.01,"trial_1",0.00325,0.00481966458030708
"64",0.75,"Pa14_01960",-0.002,"trial_1",0.00275,0.0051861192941672
"65",0.75,"Pa14_09480",0.017,"trial_1",0.0165,0.00946484724300046
"66",0.75,"Pa14_19120",0.017,"trial_1",0.0015,0.00592311854797229
"67",0.75,"Pa14_48650",0.034,"trial_1",0.018,0.00639009650422694
"68",0.75,"Pa14_58770",0.009,"trial_1",0.0085,0.00409267638593622
"69",0.75,"Pa14_06570",0.01,"trial_1",0.00625,0.00471478171993854
"70",0.75,"Pa14_32750",0.006,"trial_1",-0.0025,0.00473462423711393
"71",0.75,"Pa14_62830",0.017,"trial_1",0.0125,0.0029011491975882
"72",0.75,"Pa14_17250",0.001,"trial_1",0.005,0.00432049379893857
"73",0.75,"Pa14_20440",-0.003,"trial_1",0.00225,0.00377215676591876
"74",0.75,"Pa14_68350",0.005,"trial_1",0.00625,0.00515388203202208
"75",0.75,"Pa14_72840",0.022,"trial_1",0.0235,0.00630476010645925
"76",0.75,"Pa14",0.01,"trial_1",0.00975,0.00719229912244108
"77",1,"Pa14_51430",0.003,"trial_1",-0.00175,0.00534438958160799
"78",1,"Pa14_16930",0.007,"trial_1",0.0215,0.0156764154065909
"79",1,"Pa14_09810",0.019,"trial_1",0.01875,0.00663795902367588
"80",1,"Pa14_64590",0.006,"trial_1",0.00675,0.00430842198490352
"81",1,"Pa14_05300",0.004,"trial_1",0.0065,0.00272335577306137
"82",1,"Pa14_18520",0.019,"trial_1",0.0085,0.00556027577253743
"83",1,"Pa14_01960",-0.001,"trial_1",0.00475,0.00480234317807464
"84",1,"Pa14_09480",0.016,"trial_1",0.0175,0.00921502396451939
"85",1,"Pa14_19120",0.018,"trial_1",0.0025,0.00619811799392902
"86",1,"Pa14_48650",0.035,"trial_1",0.02,0.00575905084772367
"87",1,"Pa14_58770",0.01,"trial_1",0.0095,0.003523729085311
"88",1,"Pa14_06570",0.011,"trial_1",0.0075,0.00409267638593622
"89",1,"Pa14_32750",0.007,"trial_1",-0.002,0.00525991127935317
"90",1,"Pa14_62830",0.019,"trial_1",0.0155,0.00232737334062816
"91",1,"Pa14_17250",0.009,"trial_1",0.00825,0.00375
"92",1,"Pa14_20440",-0.003,"trial_1",0.004,0.00348807492274272
"93",1,"Pa14_68350",0.006,"trial_1",0.00725,0.00411045415171284
"94",1,"Pa14_72840",0.023,"trial_1",0.026,0.0075608641481425
"95",1,"Pa14",0.01,"trial_1",0.0115,0.00710046946804693
"96",1.25,"Pa14_51430",0.004,"trial_1",0.000749999999999999,0.005528336096874
"97",1.25,"Pa14_16930",0.007,"trial_1",0.02475,0.0173703530956244
"98",1.25,"Pa14_09810",0.021,"trial_1",0.02325,0.00608789783094296
"99",1.25,"Pa14_64590",0.009,"trial_1",0.01,0.00430116263352131
"100",1.25,"Pa14_05300",0.005,"trial_1",0.0105,0.00375277674973257
"101",1.25,"Pa14_18520",0.024,"trial_1",0.0125,0.00539289656245448
"102",1.25,"Pa14_01960",0,"trial_1",0.00775,0.00457119605063416
"103",1.25,"Pa14_09480",0.019,"trial_1",0.01925,0.00802470144823677
"104",1.25,"Pa14_19120",0.019,"trial_1",0.005,0.00578791845139511
"105",1.25,"Pa14_48650",0.036,"trial_1",0.0215,0.00563471383479232
