"","competition","trial","culture_conditions","Condition","Timepoint_hr","CFU_per_mL_total","mean_CFU_per_mL","log_mean_CFU_per_mL","sem_CFU_per_mL","log_sem_CFU_per_mL","fold_change","log_fold_change","mean_fold_change","mean_log_fold_change"
"1","Mouse_Pa_Kp","trial_1","control","Fresh_LB","T0",4600000,3360000,6.52633927738984,401995.024844836,5.60422067821928,NA,NA,NA,NA
"2","Mouse_Pa_Kp","trial_1","spent","Self_spent_LB","T0",5200000,4320000,6.63548374681491,440908.153700972,5.64434813029513,NA,NA,NA,NA
"3","Mouse_Pa_Kp","trial_1","spent","145.1_Spent_LB","T0",3800000,3920000,6.59328606702046,300665.927567458,5.47808421523768,NA,NA,NA,NA
"4","Mouse_Pa_Kp","trial_1","spent","191.1_Spent_LB","T0",3800000,3760000,6.57518784492766,318747.549010185,5.50344685397395,NA,NA,NA,NA
"5","Mouse_Pa_Kp","trial_1","spent","193.1_Spent_LB","T0",2400000,3720000,6.5705429398819,520000,5.7160033436348,NA,NA,NA,NA
"6","Mouse_Pa_Kp","trial_1","co-culture","KPPR1_145.1","T0",5200000,4320000,6.63548374681491,458693.797647189,5.66152286774085,NA,NA,NA,NA
"7","Mouse_Pa_Kp","trial_1","co-culture","KPPR1_191.1","T0",4200000,3280000,6.51587384371168,392937.65408777,5.59432364799986,NA,NA,NA,NA
"8","Mouse_Pa_Kp","trial_1","co-culture","KPPR1_193.1","T0",1200000,3120000,6.49415459401844,733757.453113766,5.86555252560796,NA,NA,NA,NA
"9","Mouse_Pa_Kp","trial_1","control","Fresh_LB","T24",4.6e+10,3.82e+10,10.5820633629117,8968834929.91146,9.95273603096235,10000,4,12904.7846889952,4.1107507629162
"10","Mouse_Pa_Kp","trial_1","spent","Self_spent_LB","T24",5.2e+08,8.76e+08,8.94250410616808,333490629.553515,8.52308363558278,100,2,240.592592592593,2.38128225207413
"11","Mouse_Pa_Kp","trial_1","spent","145.1_Spent_LB","T24",3.8e+08,262800000,8.41962536088774,63496771.5714744,7.80275164459375,100,2,70.6055555555556,1.84883887459566
"12","Mouse_Pa_Kp","trial_1","spent","191.1_Spent_LB","T24",4200000,10440000,7.01870049866624,6430365.46395304,6.80823565635622,1.10526315789474,0.0434656937810903,2.48370927318296,0.395100758798527
"13","Mouse_Pa_Kp","trial_1","spent","193.1_Spent_LB","T24",6600000,14960000,7.17493159352844,10785063.7457551,7.03282271636929,2.75,0.439332693830263,3.50628571428571,0.54484730225463
"14","Mouse_Pa_Kp","trial_1","co-culture","KPPR1_145.1","T24",1.4e+09,379600000,8.57932620375525,256953225.315426,8.40985407338488,269.230769230769,2.43012469204344,79.7211538461538,1.9015735758462
"15","Mouse_Pa_Kp","trial_1","co-culture","KPPR1_191.1","T24",2.8e+09,646800000,8.81077001123436,538719073.358276,8.73136235202194,666.666666666667,2.82390874094432,165.950710108605,2.21997911510912
"16","Mouse_Pa_Kp","trial_1","co-culture","KPPR1_193.1","T24",1.6e+09,489200000,8.68948644836425,281369223.619073,8.44927659223385,1333.33333333333,3.1249387366083,321.931563534505,2.50776355884422
"17","Mouse_Pa_Kp","trial_2","control","Fresh_LB","T0",3800000,3360000,6.52633927738984,401995.024844836,5.60422067821928,NA,NA,NA,NA
"18","Mouse_Pa_Kp","trial_2","spent","Self_spent_LB","T0",4e+06,4320000,6.63548374681491,440908.153700972,5.64434813029513,NA,NA,NA,NA
"19","Mouse_Pa_Kp","trial_2","spent","145.1_Spent_LB","T0",3600000,3920000,6.59328606702046,300665.927567458,5.47808421523768,NA,NA,NA,NA
"20","Mouse_Pa_Kp","trial_2","spent","191.1_Spent_LB","T0",2800000,3760000,6.57518784492766,318747.549010185,5.50344685397395,NA,NA,NA,NA
"21","Mouse_Pa_Kp","trial_2","spent","193.1_Spent_LB","T0",5e+06,3720000,6.5705429398819,520000,5.7160033436348,NA,NA,NA,NA
"22","Mouse_Pa_Kp","trial_2","co-culture","KPPR1_145.1","T0",5600000,4320000,6.63548374681491,458693.797647189,5.66152286774085,NA,NA,NA,NA
"23","Mouse_Pa_Kp","trial_2","co-culture","KPPR1_191.1","T0",3600000,3280000,6.51587384371168,392937.65408777,5.59432364799986,NA,NA,NA,NA
"24","Mouse_Pa_Kp","trial_2","co-culture","KPPR1_193.1","T0",5600000,3120000,6.49415459401844,733757.453113766,5.86555252560796,NA,NA,NA,NA
"25","Mouse_Pa_Kp","trial_2","control","Fresh_LB","T24",7e+09,3.82e+10,10.5820633629117,8968834929.91146,9.95273603096235,1842.1052631579,3.26531444339745,12904.7846889952,4.1107507629162
"26","Mouse_Pa_Kp","trial_2","spent","Self_spent_LB","T24",4.8e+08,8.76e+08,8.94250410616808,333490629.553515,8.52308363558278,120,2.07918124604762,240.592592592593,2.38128225207413
"27","Mouse_Pa_Kp","trial_2","spent","145.1_Spent_LB","T24",2.8e+08,262800000,8.41962536088774,63496771.5714744,7.80275164459375,77.7777777777778,1.89085553057493,70.6055555555556,1.84883887459566
"28","Mouse_Pa_Kp","trial_2","spent","191.1_Spent_LB","T24",6600000,10440000,7.01870049866624,6430365.46395304,6.80823565635622,2.35714285714286,0.372385904199649,2.48370927318296,0.395100758798527
"29","Mouse_Pa_Kp","trial_2","spent","193.1_Spent_LB","T24",4800000,14960000,7.17493159352844,10785063.7457551,7.03282271636929,0.96,-0.0177287669604316,3.50628571428571,0.54484730225463
"30","Mouse_Pa_Kp","trial_2","co-culture","KPPR1_145.1","T24",5.6e+07,379600000,8.57932620375525,256953225.315426,8.40985407338488,10,1,79.7211538461538,1.9015735758462
"31","Mouse_Pa_Kp","trial_2","co-culture","KPPR1_191.1","T24",8e+07,646800000,8.81077001123436,538719073.358276,8.73136235202194,22.2222222222222,1.34678748622466,165.950710108605,2.21997911510912
"32","Mouse_Pa_Kp","trial_2","co-culture","KPPR1_193.1","T24",6.6e+07,489200000,8.68948644836425,281369223.619073,8.44927659223385,11.7857142857143,1.07135590853567,321.931563534505,2.50776355884422
"33","Mouse_Pa_Kp","trial_3","control","Fresh_LB","T0",3200000,3360000,6.52633927738984,401995.024844836,5.60422067821928,NA,NA,NA,NA
"34","Mouse_Pa_Kp","trial_3","spent","Self_spent_LB","T0",4e+06,4320000,6.63548374681491,440908.153700972,5.64434813029513,NA,NA,NA,NA
"35","Mouse_Pa_Kp","trial_3","spent","145.1_Spent_LB","T0",4e+06,3920000,6.59328606702046,300665.927567458,5.47808421523768,NA,NA,NA,NA
