"","Time","strain","OD600","expt","trial","mean_OD600","sem_OD600"
"1",0,"KPPR1",0,"Mouse_Pa","trial_1",0.00593333333333333,0.0022771466411711
"2",0,"145.1",0,"Mouse_Pa","trial_1",0.008,0.00404145188432738
"3",0,"191.1",0.004,"Mouse_Pa","trial_1",0.00266666666666667,0.000881917103688197
"4",0,"193.1",0,"Mouse_Pa","trial_1",0.00666666666666667,0.00375647588986155
"5",0.25,"KPPR1",0,"Mouse_Pa","trial_1",0.0064,0.0024118753817606
"6",0.25,"145.1",0,"Mouse_Pa","trial_1",0.00666666666666667,0.00338296385503074
"7",0.25,"191.1",0.004,"Mouse_Pa","trial_1",0.00233333333333333,0.00120185042515466
"8",0.25,"193.1",0,"Mouse_Pa","trial_1",0.00633333333333333,0.00375647588986155
"9",0.5,"KPPR1",0,"Mouse_Pa","trial_1",0.00813333333333333,0.00246473540870428
"10",0.5,"145.1",0,"Mouse_Pa","trial_1",0.00633333333333333,0.00317979733805649
"11",0.5,"191.1",0.005,"Mouse_Pa","trial_1",0.003,0.00152752523165195
"12",0.5,"193.1",0,"Mouse_Pa","trial_1",0.00633333333333333,0.00375647588986155
"13",0.75,"KPPR1",0,"Mouse_Pa","trial_1",0.0116,0.00258898766757533
"14",0.75,"145.1",0,"Mouse_Pa","trial_1",0.007,0.00351188458428425
"15",0.75,"191.1",0.006,"Mouse_Pa","trial_1",0.00433333333333333,0.00120185042515466
"16",0.75,"193.1",0,"Mouse_Pa","trial_1",0.00666666666666667,0.00375647588986155
"17",1,"KPPR1",0,"Mouse_Pa","trial_1",0.0172,0.00284554790104522
"18",1,"145.1",0,"Mouse_Pa","trial_1",0.00933333333333333,0.00497772817435603
"19",1,"191.1",0.007,"Mouse_Pa","trial_1",0.006,0.001
"20",1,"193.1",0,"Mouse_Pa","trial_1",0.008,0.00435889894354067
"21",1.25,"KPPR1",0.005,"Mouse_Pa","trial_1",0.0281333333333333,0.00384567371850582
"22",1.25,"145.1",0,"Mouse_Pa","trial_1",0.013,0.00750555349946513
"23",1.25,"191.1",0.009,"Mouse_Pa","trial_1",0.00866666666666667,0.000881917103688197
"24",1.25,"193.1",0.002,"Mouse_Pa","trial_1",0.0103333333333333,0.00440958551844099
