"","strain","condition","OD","absorbance","trial","sum_absorb","mean_absorb","mean_sum_absorb"
"1","JV15","Clinical isolate","OD500",0.024,"trial_1",0.037,0.0425,0.0645
"2","JV16","Clinical isolate","OD500",0.043,"trial_1",0.077,0.053,0.0925
"3","JV17","Clinical isolate","OD500",0.074,"trial_1",0.125,0.0655,0.1115
"4","JV18","Clinical isolate","OD500",0.035,"trial_1",0.059,0.051,0.0795
"5","JV19","Clinical isolate","OD500",0.014,"trial_1",0.026,0.0185,0.032
"6","JV20","Clinical isolate","OD500",0.046,"trial_1",0.071,0.053,0.084
"7","JV21","Clinical isolate","OD500",0.057,"trial_1",0.087,0.0715,0.108
"8","JV22","Clinical isolate","OD500",0.046,"trial_1",0.071,0.065,0.0985
"9","JV23","Clinical isolate","OD500",0.027,"trial_1",0.041,0.037,0.055
"10","JV24","Clinical isolate","OD500",0.083,"trial_1",0.168,0.0935,0.181
"11","JV26","Clinical isolate","OD500",0.096,"trial_1",0.147,0.0605,0.093
"12","JV27","Clinical isolate","OD500",0.048,"trial_1",0.07,0.0625,0.0945
"13","JV28","Clinical isolate","OD500",0.065,"trial_1",0.099,0.0805,0.1275
"14","JV29","Clinical isolate","OD500",0.078,"trial_1",0.132,0.103,0.178
"15","JV30","Clinical isolate","OD500",0.058,"trial_1",0.093,0.0405,0.07
"16","JV31","Clinical isolate","OD500",0.078,"trial_1",0.127,0.1065,0.172
"17","JV32","Clinical isolate","OD500",0.064,"trial_1",0.107,0.073,0.1185
"18","JV33","Clinical isolate","OD500",0.044,"trial_1",0.067,0.0515,0.0775
"19","JV34","Clinical isolate","OD500",0.03,"trial_1",0.07,0.043,0.091
"20","JV35","Clinical isolate","OD500",0.073,"trial_1",0.15,0.073,0.159
"21","JV36","Clinical isolate","OD500",0.042,"trial_1",0.063,0.0515,0.0775
"22","JV38","Clinical isolate","OD500",0.012,"trial_1",0.015,0.0195,0.025
"23","JV39","Clinical isolate","OD500",0.023,"trial_1",0.035,0.023,0.035
"24","JV40","Clinical isolate","OD500",0.091,"trial_1",0.163,0.094,0.1775
"25","JV41","Clinical isolate","OD500",0.035,"trial_1",0.051,0.044,0.0655
"26","JV42","Clinical isolate","OD500",0.077,"trial_1",0.116,0.0815,0.124
"27","JV43","Clinical isolate","OD500",0.091,"trial_1",0.145,0.087,0.139
"28","JV44","Clinical isolate","OD500",0.029,"trial_1",0.044,0.0315,0.049
"29","JV45","Clinical isolate","OD500",0.041,"trial_1",0.066,0.0445,0.0705
"30","JV46","Clinical isolate","OD500",0.067,"trial_1",0.121,0.07,0.1345
"31","JV47","Clinical isolate","OD500",0.001,"trial_1",0.001,5e-04,0.001
"32","JV48","Clinical isolate","OD500",0.086,"trial_1",0.142,0.0775,0.131
"33","JV49","Clinical isolate","OD500",0.099,"trial_1",0.16,0.1065,0.179
"34","JV50","Clinical isolate","OD500",0.057,"trial_1",0.087,0.0525,0.08
"35","JV51","Clinical isolate","OD500",0.051,"trial_1",0.078,0.045,0.071
"36","JV52","Clinical isolate","OD500",0.035,"trial_1",0.053,0.046,0.074
"37","JV53","Clinical isolate","OD500",0.063,"trial_1",0.104,0.0645,0.1125
"38","JV55","Clinical isolate","OD500",0.106,"trial_1",0.172,0.089,0.153
"39","JV56","Clinical isolate","OD500",0.027,"trial_1",0.038,0.027,0.0375
"40","JV57","Clinical isolate","OD500",0.056,"trial_1",0.092,0.0605,0.1025
"41","JV58","Clinical isolate","OD500",0.036,"trial_1",0.055,0.042,0.0645
"42","JV59","Clinical isolate","OD500",0.085,"trial_1",0.125,0.0905,0.1365
"43","JV60","Clinical isolate","OD500",0.095,"trial_1",0.155,0.0995,0.1685
"44","JV61","Clinical isolate","OD500",0.074,"trial_1",0.118,0.0775,0.126
"45","JV62","Clinical isolate","OD500",0.109,"trial_1",0.188,0.094,0.1725
"46","JV63","Clinical isolate","OD500",0.066,"trial_1",0.091,0.0695,0.102
"47","JV64","Clinical isolate","OD500",0.056,"trial_1",0.084,0.068,0.1025
"48","JV65","Clinical isolate","OD500",0.072,"trial_1",0.118,0.073,0.1205
"49","JV66","Clinical isolate","OD500",0.088,"trial_1",0.137,0.0875,0.139
"50","JV67","Clinical isolate","OD500",0.066,"trial_1",0.102,0.064,0.1055
"51","JV68","Clinical isolate","OD500",0.047,"trial_1",0.094,0.0585,0.1165
"52","JV69","Clinical isolate","OD500",0.106,"trial_1",0.163,0.089,0.141
"53","JV70","Clinical isolate","OD500",0.044,"trial_1",0.065,0.0345,0.052
"54","JV71","Clinical isolate","OD500",0.07,"trial_1",0.139,0.076,0.1575
"55","JV73","Clinical isolate","OD500",0.09,"trial_1",0.138,0.0915,0.142
"56","JV193","Clinical isolate","OD500",0.037,"trial_1",0.056,0.092,0.143
"57","JV194","Clinical isolate","OD500",0.084,"trial_1",0.131,0.084,0.132
"58","JV195","Clinical isolate","OD500",0.146,"trial_1",0.231,0.1365,0.2215
