"","strain","condition","OD","mean_absorb"
"1","JV15","Clinical isolate","OD500",0.0425
"2","JV16","Clinical isolate","OD500",0.053
"3","JV17","Clinical isolate","OD500",0.0655
"4","JV18","Clinical isolate","OD500",0.051
"5","JV19","Clinical isolate","OD500",0.0185
"6","JV20","Clinical isolate","OD500",0.053
"7","JV21","Clinical isolate","OD500",0.0715
"8","JV22","Clinical isolate","OD500",0.065
"9","JV23","Clinical isolate","OD500",0.037
"10","JV24","Clinical isolate","OD500",0.0935
"11","JV26","Clinical isolate","OD500",0.0605
"12","JV27","Clinical isolate","OD500",0.0625
"13","JV28","Clinical isolate","OD500",0.0805
"14","JV29","Clinical isolate","OD500",0.103
"15","JV30","Clinical isolate","OD500",0.0405
"16","JV31","Clinical isolate","OD500",0.1065
"17","JV32","Clinical isolate","OD500",0.073
"18","JV33","Clinical isolate","OD500",0.0515
"19","JV34","Clinical isolate","OD500",0.043
"20","JV35","Clinical isolate","OD500",0.073
"21","JV36","Clinical isolate","OD500",0.0515
"22","JV38","Clinical isolate","OD500",0.0195
"23","JV39","Clinical isolate","OD500",0.023
"24","JV40","Clinical isolate","OD500",0.094
"25","JV41","Clinical isolate","OD500",0.044
"26","JV42","Clinical isolate","OD500",0.0815
"27","JV43","Clinical isolate","OD500",0.087
"28","JV44","Clinical isolate","OD500",0.0315
"29","JV45","Clinical isolate","OD500",0.0445
"30","JV46","Clinical isolate","OD500",0.07
"31","JV47","Clinical isolate","OD500",5e-04
"32","JV48","Clinical isolate","OD500",0.0775
"33","JV49","Clinical isolate","OD500",0.1065
"34","JV50","Clinical isolate","OD500",0.0525
"35","JV51","Clinical isolate","OD500",0.045
"36","JV52","Clinical isolate","OD500",0.046
"37","JV53","Clinical isolate","OD500",0.0645
"38","JV55","Clinical isolate","OD500",0.089
"39","JV56","Clinical isolate","OD500",0.027
"40","JV57","Clinical isolate","OD500",0.0605
"41","JV58","Clinical isolate","OD500",0.042
"42","JV59","Clinical isolate","OD500",0.0905
"43","JV60","Clinical isolate","OD500",0.0995
"44","JV61","Clinical isolate","OD500",0.0775
"45","JV62","Clinical isolate","OD500",0.094
"46","JV63","Clinical isolate","OD500",0.0695
"47","JV64","Clinical isolate","OD500",0.068
"48","JV65","Clinical isolate","OD500",0.073
"49","JV66","Clinical isolate","OD500",0.0875
"50","JV67","Clinical isolate","OD500",0.064
"51","JV68","Clinical isolate","OD500",0.0585
"52","JV69","Clinical isolate","OD500",0.089
"53","JV70","Clinical isolate","OD500",0.0345
"54","JV71","Clinical isolate","OD500",0.076
"55","JV73","Clinical isolate","OD500",0.0915
"56","JV193","Clinical isolate","OD500",0.092
"57","JV194","Clinical isolate","OD500",0.084
"58","JV195","Clinical isolate","OD500",0.1365
"59","JV196","Clinical isolate","OD500",0.059
"60","JV197","Clinical isolate","OD500",0.0755
"61","JV198","Clinical isolate","OD500",0.0645
"62","JV199","Clinical isolate","OD500",0.0645
"63","JV200","Clinical isolate","OD500",0.057
"64","JV201","Clinical isolate","OD500",0.0845
"65","JV202","Clinical isolate","OD500",0.0325
"66","JV203","Clinical isolate","OD500",0.1565
"67","JV204","Clinical isolate","OD500",0.0615
"68","JV257","Clinical isolate","OD500",0.1335
"69","JV258","Clinical isolate","OD500",0.0225
"70","JV259","Clinical isolate","OD500",0.074
"71","JV260","Clinical isolate","OD500",0.02
"72","JV261","Clinical isolate","OD500",0.0725
"73","JV262","Clinical isolate","OD500",0.07
"74","JV263","Clinical isolate","OD500",0.08
"75","JV264","Clinical isolate","OD500",0.0655
"76","JV265","Clinical isolate","OD500",0.0515
"77","JV266","Clinical isolate","OD500",0.0775
"78","JV267","Clinical isolate","OD500",0.0405
"79","JV268","Clinical isolate","OD500",0.0755
"80","JV269","Clinical isolate","OD500",0.034
"81","JV270","Clinical isolate","OD500",0.0495
"82","JV271","Clinical isolate","OD500",0.0645
"83","JV272","Clinical isolate","OD500",0.0235
"84","JV273","Clinical isolate","OD500",0.4075
"85","JV274","Clinical isolate","OD500",0.0815
"86","JV275","Clinical isolate","OD500",0.0675
"87","JV276","Clinical isolate","OD500",0.1095
"88","JV287","Clinical isolate","OD500",0.062
"89","JV288","Clinical isolate","OD500",0.0605
"90","JV289","Clinical isolate","OD500",0.051
"91","JV290","Clinical isolate","OD500",0.077
"92","JV291","Clinical isolate","OD500",0.0215
"93","JV292","Clinical isolate","OD500",0.012
"94","JV294","Clinical isolate","OD500",0.0835
"95","JV296","Clinical isolate","OD500",0.021
"96","JV297","Clinical isolate","OD500",0.0185
"97","JV298","Clinical isolate","OD500",0.073
"98","Pa14","Pa14","OD500",0.086
"99","bquote(""Pa14""*Delta*italic(""phzA-G""))","bquote(""Pa14""*Delta*italic(""phzA-G""))","OD500",0.07475
"100","MG1655pPhzA-GS*M","MG1655pPhzA-GS*M","OD500",0.309
"101","MG1655pPhzA-GSM","MG1655pPhzA-GSM","OD500",0.0105
"102","JV299","Clinical isolate","OD500",0.103
"103","JV301","Clinical isolate","OD500",0.0585
"104","JV302","Clinical isolate","OD500",0.0935
"105","JV303","Clinical isolate","OD500",0.075
"106","JV304","Clinical isolate","OD500",0.093
"107","JV305","Clinical isolate","OD500",0.1185
"108","JV306","Clinical isolate","OD500",0.1025
"109","JV307","Clinical isolate","OD500",0.1795
"110","JV308","Clinical isolate","OD500",0.0445
"111","JV309","Clinical isolate","OD500",0.066
"112","JV310","Clinical isolate","OD500",0.0145
"113","JV311","Clinical isolate","OD500",0.052
"114","JV312","Clinical isolate","OD500",0.0655
"115","JV313","Clinical isolate","OD500",0.0565
"116","JV314","Clinical isolate","OD500",0.06
"117","JV315","Clinical isolate","OD500",0.0605
"118","JV316","Clinical isolate","OD500",0.0645
"119","JV317","Clinical isolate","OD500",0.068
"120","JV318","Clinical isolate","OD500",0.091
"121","JV319","Clinical isolate","OD500",0.0185
"122","JV320","Clinical isolate","OD500",0.065
"123","JV321","Clinical isolate","OD500",0.0885
"124","JV322","Clinical isolate","OD500",0.0575
"125","JV323","Clinical isolate","OD500",0.022
"126","JV324","Clinical isolate","OD500",0.0605
"127","JV325","Clinical isolate","OD500",0.102
"128","JV326","Clinical isolate","OD500",0.066
"129","JV327","Clinical isolate","OD500",0.0445
"130","JV328","Clinical isolate","OD500",0.0305
"131","JV329","Clinical isolate","OD500",0.072
"132","JV330","Clinical isolate","OD500",0.0455
"133","JV331","Clinical isolate","OD500",0.104
"134","JV332","Clinical isolate","OD500",0.1275
"135","JV333","Clinical isolate","OD500",0.0685
"136","JV334","Clinical isolate","OD500",0.07
"137","JV335","Clinical isolate","OD500",0.0965
"138","JV336","Clinical isolate","OD500",0.104
"139","JV337","Clinical isolate","OD500",0.0605
"140","JV340","Clinical isolate","OD500",0.0115
"141","JV341","Clinical isolate","OD500",0.107
"142","JV342","Clinical isolate","OD500",0.098
"143","JV343","Clinical isolate","OD500",0.0305
"144","JV344","Clinical isolate","OD500",0.109
"145","JV345","Clinical isolate","OD500",0.057
"146","JV346","Clinical isolate","OD500",0.0745
"147","JV347","Clinical isolate","OD500",0.0685
"148","JV348","Clinical isolate","OD500",0.082
"149","JV349","Clinical isolate","OD500",0.067
"150","JV350","Clinical isolate","OD500",0.051
"151","JV351","Clinical isolate","OD500",0.076
"152","JV352","Clinical isolate","OD500",0.079
"153","JV353","Clinical isolate","OD500",0.0585
"154","JV354","Clinical isolate","OD500",0.1765
"155","JV355","Clinical isolate","OD500",0.1175
"156","JV356","Clinical isolate","OD500",0.076
"157","JV357","Clinical isolate","OD500",0.1275
"158","JV358","Clinical isolate","OD500",0.069
"159","JV359","Clinical isolate","OD500",0.0825
"160","JV360","Clinical isolate","OD500",0.0705
"161","JV361","Clinical isolate","OD500",0.049
"162","JV362","Clinical isolate","OD500",0.0385
"163","JV363","Clinical isolate","OD500",0.056
"164","JV364","Clinical isolate","OD500",0.078
"165","JV365","Clinical isolate","OD500",0.093
"166","JV366","Clinical isolate","OD500",0.1245
"167","JV367","Clinical isolate","OD500",0.073
"168","JV368","Clinical isolate","OD500",0.079
"169","JV369","Clinical isolate","OD500",0.077
"170","JV370","Clinical isolate","OD500",0.0575
"171","JV371","Clinical isolate","OD500",0.0565
"172","JV372","Clinical isolate","OD500",0.071
"173","JV373","Clinical isolate","OD500",0.056
"174","JV374","Clinical isolate","OD500",0.0975
"175","JV375","Clinical isolate","OD500",0.0785
"176","JV376","Clinical isolate","OD500",0.017
"177","JV377","Clinical isolate","OD500",0.074
"178","JV378","Clinical isolate","OD500",0.097
"179","JV379","Clinical isolate","OD500",0.1435
"180","JV380","Clinical isolate","OD500",0.077
"181","JV381","Clinical isolate","OD500",0.0385
"182","JV382","Clinical isolate","OD500",0.072
"183","JV384","Clinical isolate","OD500",0.0445
"184","JV391","Clinical isolate","OD500",0.0805
"185","JV392","Clinical isolate","OD500",0.066
"186","JV393","Clinical isolate","OD500",0.149
"187","JV394","Clinical isolate","OD500",0.0095
"188","JV395","Clinical isolate","OD500",0.009
"189","JV415","Clinical isolate","OD500",0.068
"190","JV416","Clinical isolate","OD500",0.113
"191","JV417","Clinical isolate","OD500",0.0135
"192","JV418","Clinical isolate","OD500",0.003
"193","JV419","Clinical isolate","OD500",0.071
"194","JV420","Clinical isolate","OD500",0.025
"195","JV421","Clinical isolate","OD500",0.044
"196","JV422","Clinical isolate","OD500",0.0875
"197","JV423","Clinical isolate","OD500",0.0275
"198","JV424","Clinical isolate","OD500",0.5575
"199","Pa14","Pa14","OD695",0.0676875
"200","bquote(""Pa14""*Delta*italic(""phzA-G""))","bquote(""Pa14""*Delta*italic(""phzA-G""))","OD695",0.0035
"201","JV15","Cinical isolate","OD695",0.00566666666666667
"202","JV16","Cinical isolate","OD695",0.0593333333333333
"203","JV17","Cinical isolate","OD695",0.031
"204","JV18","Cinical isolate","OD695",0.009
"205","JV19","Cinical isolate","OD695",0.007
"206","JV20","Cinical isolate","OD695",0.0256666666666667
"207","JV21","Cinical isolate","OD695",0.0166666666666667
"208","JV22","Cinical isolate","OD695",0.007
"209","JV23","Cinical isolate","OD695",0.00466666666666667
"210","JV24","Cinical isolate","OD695",0.105666666666667
"211","JV26","Cinical isolate","OD695",0.00833333333333333
"212","JV27","Cinical isolate","OD695",0.00333333333333333
"213","JV28","Cinical isolate","OD695",0.043
"214","JV29","Cinical isolate","OD695",0.041
"215","JV30","Cinical isolate","OD695",0.0456666666666667
"216","JV31","Cinical isolate","OD695",0.028
"217","JV32","Cinical isolate","OD695",0.018
"218","JV33","Cinical isolate","OD695",0.00733333333333333
"219","JV34","Cinical isolate","OD695",0.0483333333333333
"220","JV35","Cinical isolate","OD695",0.103
"221","JV36","Cinical isolate","OD695",0.00433333333333333
"222","JV38","Cinical isolate","OD695",0.003
"223","JV39","Cinical isolate","OD695",0.0028
"224","JV40","Cinical isolate","OD695",0.107666666666667
"225","JV41","Cinical isolate","OD695",0.009
"226","JV42","Cinical isolate","OD695",0.009
"227","JV43","Cinical isolate","OD695",0.01
"228","JV44","Cinical isolate","OD695",0.007
"229","JV45","Cinical isolate","OD695",0.00766666666666667
"230","JV46","Cinical isolate","OD695",0.084
"231","JV47","Cinical isolate","OD695",0.007
"232","JV48","Cinical isolate","OD695",0.037
"233","JV49","Cinical isolate","OD695",0.0723333333333333
