"","competition","trial","culture_conditions","Condition","Timepoint_hr","CFU_per_mL_total","mean_CFU_per_mL","log_mean_CFU_per_mL","sem_CFU_per_mL","log_sem_CFU_per_mL","fold_change","log_fold_change","mean_fold_change","mean_log_fold_change"
"1","Pa14NR_Tn_Kp","trial_1","control","JV1_fresh_LB","T0",4e+06,5314285.71428571,6.72544489986764,493495.101258347,5.69328284594785,NA,NA,NA,NA
"2","Pa14NR_Tn_Kp","trial_1","co-culture","JV1_JV450","T0",2e+06,4257142.85714286,6.629118224062,610564.587612366,5.7857316118681,NA,NA,NA,NA
"3","Pa14NR_Tn_Kp","trial_1","co-culture","JV1_01_2_A05","T0",3e+06,4200000,6.6232492903979,438612.531035027,5.64208103518834,NA,NA,NA,NA
"4","Pa14NR_Tn_Kp","trial_1","co-culture","JV1_02_2_A01","T0",4200000,4485714.28571429,6.65183160805896,337659.007642587,5.52847833977304,NA,NA,NA,NA
"5","Pa14NR_Tn_Kp","trial_1","co-culture","JV1_02_3_A03","T0",4800000,4371428.57142857,6.64062338646732,410408.789074576,5.61321665279995,NA,NA,NA,NA
"6","Pa14NR_Tn_Kp","trial_1","co-culture","JV1_04_3_G05","T0",3600000,4371428.57142857,6.64062338646732,673906.269346076,5.82859949662952,NA,NA,NA,NA
"7","Pa14NR_Tn_Kp","trial_1","co-culture","JV1_04_4_B05","T0",3800000,4142857.14285714,6.6172999578847,504672.049504448,5.70300925265895,NA,NA,NA,NA
"8","Pa14NR_Tn_Kp","trial_1","co-culture","JV1_06_1_A01","T0",4200000,4033333.33333333,6.60566411559679,174483.364377365,5.24175402669053,NA,NA,NA,NA
"9","Pa14NR_Tn_Kp","trial_1","co-culture","JV1_06_1_C05","T0",5800000,4228571.42857143,6.62619367104468,476951.772401863,5.6784744670094,NA,NA,NA,NA
"10","Pa14NR_Tn_Kp","trial_1","co-culture","JV1_08_1_A12","T0",7e+06,4428571.42857143,6.64626365382002,620949.459531544,5.79305625341362,NA,NA,NA,NA
"11","Pa14NR_Tn_Kp","trial_1","co-culture","JV1_08_1_G07","T0",3400000,3714285.71428571,6.56987530795656,433934.695234077,5.63742437551827,NA,NA,NA,NA
"12","Pa14NR_Tn_Kp","trial_1","co-culture","JV1_11_2_A06","T0",1800000,3600000,6.55630250076729,416333.199893227,5.61944104445757,NA,NA,NA,NA
"13","Pa14NR_Tn_Kp","trial_1","co-culture","JV1_11_2_G10","T0",4200000,4428571.42857143,6.64626365382002,466860.989667662,5.66918758633201,NA,NA,NA,NA
"14","Pa14NR_Tn_Kp","trial_1","co-culture","JV1_12_4_C11","T0",4e+06,4166666.66666667,6.61978875828839,578311.719096582,5.76216199307726,NA,NA,NA,NA
"15","Pa14NR_Tn_Kp","trial_1","co-culture","JV1_12_4_D09","T0",1600000,4085714.28571429,6.61126799311479,650065.40748882,5.81295705615417,NA,NA,NA,NA
"16","Pa14NR_Tn_Kp","trial_1","co-culture","JV1_14_1_D06","T0",4e+06,4171428.57142857,6.62028481143416,432993.06368264,5.63648093924371,NA,NA,NA,NA
"17","Pa14NR_Tn_Kp","trial_1","co-culture","JV1_14_4_D12","T0",4600000,4542857.14285714,6.65732907997018,467443.473973639,5.66972910092923,NA,NA,NA,NA
"18","Pa14NR_Tn_Kp","trial_1","co-culture","JV1_14_4_G05","T0",5400000,4342857.14285714,6.6377755435945,413381.607889728,5.61635115015849,NA,NA,NA,NA
"19","Pa14NR_Tn_Kp","trial_1","co-culture","JV1_15_2_B11","T0",3400000,3971428.57142857,6.59894675590382,506018.203001342,5.70416614000352,NA,NA,NA,NA
"20","Pa14NR_Tn_Kp","trial_1","co-culture","JV1_15_3_E03","T0",8200000,4628571.42857143,6.66544697019236,692034.366650855,5.84012766219697,NA,NA,NA,NA
