"","strain","median","Abs","trial","mean_abs"
"1","JV450",0.076,695,"trial_1",0.087
"2","JV486",0.001,695,"trial_1",0.003
"3","JV494",0.005,695,"trial_1",0.007
"4","JV499",0.006,695,"trial_1",0.00866666666666667
"5","JV450",0.069,695,"trial_2",0.087
"6","JV486",0.001,695,"trial_2",0.003
"7","JV494",0.006,695,"trial_2",0.007
"8","JV499",0.008,695,"trial_2",0.00866666666666667
"9","JV450",0.116,695,"trial_3",0.087
"10","JV486",0.007,695,"trial_3",0.003
"11","JV494",0.01,695,"trial_3",0.007
"12","JV499",0.012,695,"trial_3",0.00866666666666667
"13","JV450",0.012,500,"trial_1",0.0293333333333333
"14","JV486",0.029,500,"trial_1",0.0286666666666667
"15","JV494",0.009,500,"trial_1",0.0326666666666667
"16","JV499",0.008,500,"trial_1",0.0326666666666667
"17","JV450",0.034,500,"trial_2",0.0293333333333333
"18","JV486",0.039,500,"trial_2",0.0286666666666667
"19","JV494",0.056,500,"trial_2",0.0326666666666667
"20","JV499",0.068,500,"trial_2",0.0326666666666667
"21","JV450",0.042,500,"trial_3",0.0293333333333333
"22","JV486",0.018,500,"trial_3",0.0286666666666667
"23","JV494",0.033,500,"trial_3",0.0326666666666667
"24","JV499",0.022,500,"trial_3",0.0326666666666667
