"","compound","trial","MIC_ug_per_mL","MBC_ug_per_mL","MIC_LOD","MBC_LOD","median_MIC","median_MBC","MBC_MIC_ratio","media","condition"
"1","pyo","trial_1",250,2000,"N","Y",125,1000,8,"fresh","pyo_fresh"
"2","kan","trial_1",3.90625,7.8125,"N","N",7.8125,15.625,2,"fresh","kan_fresh"
"3","rif","trial_1",125,125,"Y","Y",125,125,1,"fresh","rif_fresh"
"4","pyo","trial_2",125,1000,"N","N",125,1000,8,"fresh","pyo_fresh"
"5","kan","trial_2",7.8125,15.625,"N","N",7.8125,15.625,2,"fresh","kan_fresh"
"6","rif","trial_2",125,125,"Y","Y",125,125,1,"fresh","rif_fresh"
"7","pyo","trial_3",62.5,1000,"N","N",125,1000,8,"fresh","pyo_fresh"
"8","kan","trial_3",7.8125,15.625,"N","N",7.8125,15.625,2,"fresh","kan_fresh"
"9","rif","trial_3",125,125,"Y","Y",125,125,1,"fresh","rif_fresh"
"10","pyo","trial_1",3.90625,250,"N","N",7.8125,250,32,"spent","pyo_spent"
"11","pyo","trial_2",7.8125,500,"N","Y",7.8125,250,32,"spent","pyo_spent"
"12","pyo","trial_3",7.8125,62.5,"N","N",7.8125,250,32,"spent","pyo_spent"
