phenazine,media,oxygen,MIC,trial,median_MIC
PCA,fresh,aerobic,250,1,250
1HP,fresh,aerobic,500,1,500
PYO,fresh,aerobic,125,1,125
PCA,spent,aerobic,250,1,125
1HP,spent,aerobic,62.5,1,250
PYO,spent,aerobic,31.25,1,31.25
PCA,fresh,anaerobic,125,1,250
1HP,fresh,anaerobic,500,1,500
PYO,fresh,anaerobic,250,1,250
PCA,spent,anaerobic,250,1,250
1HP,spent,anaerobic,500,1,250
PYO,spent,anaerobic,125,1,250
PCA,fresh,aerobic,250,2,250
1HP,fresh,aerobic,500,2,500
PYO,fresh,aerobic,125,2,125
PCA,spent,aerobic,125,2,125
1HP,spent,aerobic,250,2,250
PYO,spent,aerobic,31.25,2,31.25
PCA,fresh,anaerobic,250,2,250
1HP,fresh,anaerobic,500,2,500
PYO,fresh,anaerobic,250,2,250
PCA,spent,anaerobic,250,2,250
1HP,spent,anaerobic,250,2,250
PYO,spent,anaerobic,250,2,250
PCA,fresh,aerobic,250,3,250
1HP,fresh,aerobic,1000,3,500
PYO,fresh,aerobic,125,3,125
PCA,spent,aerobic,125,3,125
1HP,spent,aerobic,500,3,250
PYO,spent,aerobic,31.25,3,31.25
PCA,fresh,anaerobic,500,3,250
1HP,fresh,anaerobic,1000,3,500
PYO,fresh,anaerobic,250,3,250
PCA,spent,anaerobic,250,3,250
1HP,spent,anaerobic,250,3,250
PYO,spent,anaerobic,250,3,250
