"","Strain","Plate","Chemical","corr_OD595","trial","chem_mean"
"1","JV1","PM1","Negative Control",0,"trial_1",0
"2","JV1","PM1","L-Arabinose",3.941,"trial_1",3.39133333333333
"3","JV1","PM1","N-Acetyl-D-Glucosamine",4.015,"trial_1",3.80366666666667
"4","JV1","PM1","D-Saccharic acid",2.248,"trial_1",2.146
"5","JV1","PM1","Succinic acid",1.522,"trial_1",1.42333333333333
"6","JV1","PM1","D-Galactose",3.888,"trial_1",3.236
"7","JV1","PM1","L-Aspartic acid",2.204,"trial_1",1.95933333333333
"8","JV1","PM1","L-Proline",1.906,"trial_1",1.783
"9","JV1","PM1","D-Alanine",1.895,"trial_1",1.76133333333333
"10","JV1","PM1","D-Trehalose",4.486,"trial_1",3.71166666666667
"11","JV1","PM1","D-Mannose",4.202,"trial_1",3.45466666666667
"12","JV1","PM1","Dulcitol",0.095,"trial_1",0.041
"13","JV1","PM1","D-Serine",2.03,"trial_1",2.00233333333333
"14","JV1","PM1","D-Sorbitol",3.677,"trial_1",3.52233333333333
"15","JV1","PM1","Glycerol",1.68,"trial_1",1.451
"16","JV1","PM1","L-Fucose",2.385,"trial_1",2.11033333333333
"17","JV1","PM1","D-Glucuronic acid",2.425,"trial_1",2.20066666666667
"18","JV1","PM1","D-Gluconic acid",2.817,"trial_1",2.54366666666667
"19","JV1","PM1","DL-a-Glycerol Phosphate",2.031,"trial_1",2.03866666666667
"20","JV1","PM1","D-Xylose",3.769,"trial_1",3.397
"21","JV1","PM1","L-Lactic acid",1.896,"trial_1",1.91666666666667
"22","JV1","PM1","Formic acid",0.105,"trial_1",0.188333333333333
"23","JV1","PM1","D-Mannitol",3.387,"trial_1",3.13133333333333
"24","JV1","PM1","L-Glutamic acid",1.89,"trial_1",1.83333333333333
"25","JV1","PM1","D-Glucose-6-Phosphate",2.391,"trial_1",2.383
"26","JV1","PM1","D-Galactonic acid-g-Lactone",0.93,"trial_1",0.622333333333333
"27","JV1","PM1","DL-Malic acid",1.722,"trial_1",1.768
"28","JV1","PM1","D-Ribose",2.516,"trial_1",2.32633333333333
"29","JV1","PM1","Tween 20",1.441,"trial_1",1.003
"30","JV1","PM1","L-Rhamnose",2.256,"trial_1",1.97933333333333
"31","JV1","PM1","D-Fructose",3.87,"trial_1",3.35033333333333
"32","JV1","PM1","Acetic acid",1.519,"trial_1",1.57666666666667
"33","JV1","PM1","a-D-Glucose",4.37,"trial_1",3.771
"34","JV1","PM1","Maltose",3.392,"trial_1",3.07033333333333
"35","JV1","PM1","D-Melibiose",4.451,"trial_1",3.782
"36","JV1","PM1","Thymidine",2.435,"trial_1",2.10966666666667
"37","JV1","PM1","L-Asparagine",1.659,"trial_1",1.673
"38","JV1","PM1","D-Aspartic acid",0,"trial_1",0.00933333333333333
"39","JV1","PM1","D-Glucosaminic acid",0.846,"trial_1",0.387333333333333
"40","JV1","PM1","1,2-Propanediol",0.19,"trial_1",0.0853333333333333
"41","JV1","PM1","Tween 40",1.252,"trial_1",0.468666666666667
"42","JV1","PM1","a-Ketoglutaric acid",0.151,"trial_1",0.0933333333333333
"43","JV1","PM1","a-Ketobutyric acid",0.052,"trial_1",0.0636666666666667
"44","JV1","PM1","a-Methyl D-Galactoside",2.666,"trial_1",2.25666666666667
"45","JV1","PM1","a-D-Lactose",3.027,"trial_1",2.675
"46","JV1","PM1","Lactulose",1.992,"trial_1",2.21166666666667
"47","JV1","PM1","Sucrose",4.29,"trial_1",4.007
"48","JV1","PM1","Uridine",2.977,"trial_1",2.62666666666667
"49","JV1","PM1","L-Glutamine",2.344,"trial_1",2.33333333333333
"50","JV1","PM1","m-Tartaric acid",0.132,"trial_1",0.0706666666666667
"51","JV1","PM1","D-Glucose-1-Phosphate",2.169,"trial_1",2.07166666666667
"52","JV1","PM1","D-Fructose-6-Phosphate",2.276,"trial_1",2.329
"53","JV1","PM1","Tween 80",1.108,"trial_1",0.616666666666667
"54","JV1","PM1","a-Hydroxyglutaric acid-g-Lactone",0.065,"trial_1",0.0503333333333333
"55","JV1","PM1","a-Hydroxybutyric acid",0.872,"trial_1",0.667333333333333
"56","JV1","PM1","b-Methyl D-Glucoside",3.366,"trial_1",3.26033333333333
"57","JV1","PM1","Adonitol",2.872,"trial_1",3.03266666666667
"58","JV1","PM1","Maltotriose",4.446,"trial_1",4.073
"59","JV1","PM1","2`-Deoxyadenosine",2.213,"trial_1",2.32066666666667
"60","JV1","PM1","Adenosine",2.179,"trial_1",2.11133333333333
"61","JV1","PM1","Gly-Asp",1.664,"trial_1",1.73633333333333
"62","JV1","PM1","Citric acid",1.933,"trial_1",1.84733333333333
"63","JV1","PM1","m-Inositol",1.99,"trial_1",1.76766666666667
"64","JV1","PM1","D-Threonine",0.579,"trial_1",0.218666666666667
"65","JV1","PM1","Fumaric acid",1.77,"trial_1",1.811
"66","JV1","PM1","Bromosuccinic acid",1.55,"trial_1",1.567
"67","JV1","PM1","Propionic acid",0.019,"trial_1",0.007
"68","JV1","PM1","Mucic acid",2.426,"trial_1",2.31233333333333
"69","JV1","PM1","Glycolic acid",1.189,"trial_1",0.402333333333333
"70","JV1","PM1","Glyoxylic acid",0,"trial_1",0.00266666666666667
"71","JV1","PM1","D-Cellobiose",6.405,"trial_1",4.785
"72","JV1","PM1","Inosine",2.971,"trial_1",2.68
"73","JV1","PM1","Gly-Glu",1.825,"trial_1",1.71
"74","JV1","PM1","Tricarballylic acid",0.736,"trial_1",0.267
"75","JV1","PM1","L-Serine",2.008,"trial_1",1.97666666666667
"76","JV1","PM1","L-Threonine",1.529,"trial_1",1.51566666666667
"77","JV1","PM1","L-Alanine",1.64,"trial_1",1.60566666666667
"78","JV1","PM1","Ala-Gly",1.727,"trial_1",1.657
"79","JV1","PM1","Acetoacetic acid",0.417,"trial_1",0.178666666666667
"80","JV1","PM1","N-Acetyl-D-Mannosamine",1.793,"trial_1",1.79766666666667
"81","JV1","PM1","Mono-methyl Succinate",1.489,"trial_1",0.970333333333333
"82","JV1","PM1","Methyl Pyruvate",1.674,"trial_1",1.69166666666667
"83","JV1","PM1","D-Malic acid",1.594,"trial_1",1.41133333333333
"84","JV1","PM1","L-Malic acid",2.098,"trial_1",1.95433333333333
"85","JV1","PM1","Gly-Pro",1.483,"trial_1",1.69833333333333
"86","JV1","PM1","p-Hydroxyphenyl Acetic acid",1.352,"trial_1",1.554
"87","JV1","PM1","m-Hydroxyphenyl Acetic acid",1.993,"trial_1",1.60133333333333
"88","JV1","PM1","Tyramine",1.573,"trial_1",1.51666666666667
"89","JV1","PM1","D-Psicose",0.266,"trial_1",0.262666666666667
"90","JV1","PM1","L-Lyxose",1.381,"trial_1",1.506
"91","JV1","PM1","Glucuronamide",0.417,"trial_1",0.383333333333333
"92","JV1","PM1","Pyruvic acid",2.128,"trial_1",1.986
"93","JV1","PM1","L-Galactonic acid-g-Lactone",2.642,"trial_1",2.524
"94","JV1","PM1","D-Galacturonic acid",2.449,"trial_1",2.412
"95","JV1","PM1","b-Phenylethylamine",0.059,"trial_1",0.033
"96","JV1","PM1","Ethanolamine",0.051,"trial_1",0.0243333333333333
"97","JV1","PM1","Negative Control",0,"trial_2",0
"98","JV1","PM1","L-Arabinose",3.268,"trial_2",3.39133333333333
"99","JV1","PM1","N-Acetyl-D-Glucosamine",3.899,"trial_2",3.80366666666667
"100","JV1","PM1","D-Saccharic acid",2.113,"trial_2",2.146
"101","JV1","PM1","Succinic acid",1.498,"trial_2",1.42333333333333
"102","JV1","PM1","D-Galactose",3.471,"trial_2",3.236
"103","JV1","PM1","L-Aspartic acid",2.051,"trial_2",1.95933333333333
"104","JV1","PM1","L-Proline",1.935,"trial_2",1.783
"105","JV1","PM1","D-Alanine",1.902,"trial_2",1.76133333333333
"106","JV1","PM1","D-Trehalose",4.066,"trial_2",3.71166666666667
"107","JV1","PM1","D-Mannose",3.701,"trial_2",3.45466666666667
"108","JV1","PM1","Dulcitol",0.028,"trial_2",0.041
"109","JV1","PM1","D-Serine",1.96,"trial_2",2.00233333333333
"110","JV1","PM1","D-Sorbitol",3.36,"trial_2",3.52233333333333
"111","JV1","PM1","Glycerol",1.565,"trial_2",1.451
"112","JV1","PM1","L-Fucose",2.045,"trial_2",2.11033333333333
"113","JV1","PM1","D-Glucuronic acid",2.306,"trial_2",2.20066666666667
"114","JV1","PM1","D-Gluconic acid",2.633,"trial_2",2.54366666666667
"115","JV1","PM1","DL-a-Glycerol Phosphate",2.294,"trial_2",2.03866666666667
"116","JV1","PM1","D-Xylose",3.242,"trial_2",3.397
"117","JV1","PM1","L-Lactic acid",2.091,"trial_2",1.91666666666667
"118","JV1","PM1","Formic acid",0.249,"trial_2",0.188333333333333
"119","JV1","PM1","D-Mannitol",3.367,"trial_2",3.13133333333333
"120","JV1","PM1","L-Glutamic acid",1.942,"trial_2",1.83333333333333
"121","JV1","PM1","D-Glucose-6-Phosphate",2.356,"trial_2",2.383
"122","JV1","PM1","D-Galactonic acid-g-Lactone",0.676,"trial_2",0.622333333333333
"123","JV1","PM1","DL-Malic acid",1.96,"trial_2",1.768
"124","JV1","PM1","D-Ribose",2.212,"trial_2",2.32633333333333
"125","JV1","PM1","Tween 20",1.53,"trial_2",1.003
"126","JV1","PM1","L-Rhamnose",2.036,"trial_2",1.97933333333333
"127","JV1","PM1","D-Fructose",3.543,"trial_2",3.35033333333333
"128","JV1","PM1","Acetic acid",1.715,"trial_2",1.57666666666667
"129","JV1","PM1","a-D-Glucose",3.899,"trial_2",3.771
"130","JV1","PM1","Maltose",3.292,"trial_2",3.07033333333333
"131","JV1","PM1","D-Melibiose",3.896,"trial_2",3.782
"132","JV1","PM1","Thymidine",2.01,"trial_2",2.10966666666667
"133","JV1","PM1","L-Asparagine",1.778,"trial_2",1.673
"134","JV1","PM1","D-Aspartic acid",0.028,"trial_2",0.00933333333333333
"135","JV1","PM1","D-Glucosaminic acid",0.201,"trial_2",0.387333333333333
"136","JV1","PM1","1,2-Propanediol",0.065,"trial_2",0.0853333333333333
"137","JV1","PM1","Tween 40",0.154,"trial_2",0.468666666666667
"138","JV1","PM1","a-Ketoglutaric acid",0.082,"trial_2",0.0933333333333333
"139","JV1","PM1","a-Ketobutyric acid",0.139,"trial_2",0.0636666666666667
"140","JV1","PM1","a-Methyl D-Galactoside",2.222,"trial_2",2.25666666666667
"141","JV1","PM1","a-D-Lactose",2.672,"trial_2",2.675
"142","JV1","PM1","Lactulose",2.381,"trial_2",2.21166666666667
"143","JV1","PM1","Sucrose",4.472,"trial_2",4.007
"144","JV1","PM1","Uridine",2.555,"trial_2",2.62666666666667
"145","JV1","PM1","L-Glutamine",2.498,"trial_2",2.33333333333333
"146","JV1","PM1","m-Tartaric acid",0.065,"trial_2",0.0706666666666667
"147","JV1","PM1","D-Glucose-1-Phosphate",2.06,"trial_2",2.07166666666667
"148","JV1","PM1","D-Fructose-6-Phosphate",2.421,"trial_2",2.329
"149","JV1","PM1","Tween 80",0.742,"trial_2",0.616666666666667
"150","JV1","PM1","a-Hydroxyglutaric acid-g-Lactone",0.07,"trial_2",0.0503333333333333
"151","JV1","PM1","a-Hydroxybutyric acid",0.654,"trial_2",0.667333333333333
"152","JV1","PM1","b-Methyl D-Glucoside",3.484,"trial_2",3.26033333333333
"153","JV1","PM1","Adonitol",3.603,"trial_2",3.03266666666667
"154","JV1","PM1","Maltotriose",4.283,"trial_2",4.073
"155","JV1","PM1","2`-Deoxyadenosine",2.525,"trial_2",2.32066666666667
"156","JV1","PM1","Adenosine",2.071,"trial_2",2.11133333333333
"157","JV1","PM1","Gly-Asp",1.855,"trial_2",1.73633333333333
"158","JV1","PM1","Citric acid",1.888,"trial_2",1.84733333333333
"159","JV1","PM1","m-Inositol",1.74,"trial_2",1.76766666666667
"160","JV1","PM1","D-Threonine",0.077,"trial_2",0.218666666666667
"161","JV1","PM1","Fumaric acid",2.178,"trial_2",1.811
"162","JV1","PM1","Bromosuccinic acid",1.693,"trial_2",1.567
"163","JV1","PM1","Propionic acid",0.002,"trial_2",0.007
"164","JV1","PM1","Mucic acid",2.393,"trial_2",2.31233333333333
"165","JV1","PM1","Glycolic acid",0.018,"trial_2",0.402333333333333
