"","Time","strain","OD600","expt","trial","mean_OD600","sem_OD600"
"1",0,"KPPR1",0.016,"Mouse_Pa","trial_1",0.00893333333333333,0.00141241659396958
"2",0,"145.1",0.001,"Mouse_Pa","trial_1",0.00366666666666667,0.00145296631451356
"3",0,"191.1",0.004,"Mouse_Pa","trial_1",0.014,0.00901849950564579
"4",0,"193.1",0.01,"Mouse_Pa","trial_1",0.011,0.00321455025366432
"5",0.25,"KPPR1",0.017,"Mouse_Pa","trial_1",0.0108666666666667,0.00126816953450789
"6",0.25,"145.1",0.002,"Mouse_Pa","trial_1",0.00366666666666667,0.00120185042515466
"7",0.25,"191.1",0.004,"Mouse_Pa","trial_1",0.013,0.00850490054811538
"8",0.25,"193.1",0.01,"Mouse_Pa","trial_1",0.0106666666666667,0.00290593262902712
"9",0.5,"KPPR1",0.02,"Mouse_Pa","trial_1",0.0148,0.00170209954384074
"10",0.5,"145.1",0.001,"Mouse_Pa","trial_1",0.003,0.00152752523165195
"11",0.5,"191.1",0.002,"Mouse_Pa","trial_1",0.012,0.00854400374531753
"12",0.5,"193.1",0.01,"Mouse_Pa","trial_1",0.0103333333333333,0.00317979733805649
"13",0.75,"KPPR1",0.026,"Mouse_Pa","trial_1",0.0190666666666667,0.00213690177742198
"14",0.75,"145.1",0.003,"Mouse_Pa","trial_1",0.004,0.001
"15",0.75,"191.1",0.001,"Mouse_Pa","trial_1",0.012,0.00862167810425171
"16",0.75,"193.1",0.01,"Mouse_Pa","trial_1",0.01,0.00346410161513775
"17",1,"KPPR1",0.036,"Mouse_Pa","trial_1",0.0243333333333333,0.00277860305200921
"18",1,"145.1",0.002,"Mouse_Pa","trial_1",0.00433333333333333,0.00145296631451356
"19",1,"191.1",0.003,"Mouse_Pa","trial_1",0.0133333333333333,0.00841295297608264
"20",1,"193.1",0.013,"Mouse_Pa","trial_1",0.0116666666666667,0.00409606857581484
"21",1.25,"KPPR1",0.051,"Mouse_Pa","trial_1",0.0305333333333333,0.00357086979755789
"22",1.25,"145.1",0.009,"Mouse_Pa","trial_1",0.008,0.001
"23",1.25,"191.1",0.006,"Mouse_Pa","trial_1",0.0153333333333333,0.00788106027835793
"24",1.25,"193.1",0.018,"Mouse_Pa","trial_1",0.0146666666666667,0.004371625682868
"25",1.5,"KPPR1",0.074,"Mouse_Pa","trial_1",0.039,0.00445613541728063
"26",1.5,"145.1",0.013,"Mouse_Pa","trial_1",0.0113333333333333,0.000881917103688197
"27",1.5,"191.1",0.009,"Mouse_Pa","trial_1",0.018,0.00850490054811538
"28",1.5,"193.1",0.022,"Mouse_Pa","trial_1",0.0183333333333333,0.0047022453265553
"29",1.75,"KPPR1",0.099,"Mouse_Pa","trial_1",0.0510666666666667,0.00589791461665874
"30",1.75,"145.1",0.018,"Mouse_Pa","trial_1",0.014,0.00264575131106459
"31",1.75,"191.1",0.015,"Mouse_Pa","trial_1",0.0216666666666667,0.00821245666316995
"32",1.75,"193.1",0.03,"Mouse_Pa","trial_1",0.023,0.00602771377334171
"33",2,"KPPR1",0.131,"Mouse_Pa","trial_1",0.0685333333333333,0.00759063750799482
"34",2,"145.1",0.027,"Mouse_Pa","trial_1",0.021,0.00321455025366432
"35",2,"191.1",0.023,"Mouse_Pa","trial_1",0.0276666666666667,0.00785988408170106
"36",2,"193.1",0.05,"Mouse_Pa","trial_1",0.033,0.0101159939369957
"37",2.25,"KPPR1",0.165,"Mouse_Pa","trial_1",0.0904,0.00931961576972131
"38",2.25,"145.1",0.039,"Mouse_Pa","trial_1",0.03,0.00493288286231625
"39",2.25,"191.1",0.043,"Mouse_Pa","trial_1",0.0383333333333333,0.00841295297608264
"40",2.25,"193.1",0.075,"Mouse_Pa","trial_1",0.0483333333333333,0.0155920207513687
"41",2.5,"KPPR1",0.194,"Mouse_Pa","trial_1",0.117666666666667,0.0109595214818491
"42",2.5,"145.1",0.06,"Mouse_Pa","trial_1",0.042,0.00901849950564579
"43",2.5,"191.1",0.068,"Mouse_Pa","trial_1",0.0583333333333333,0.0144029318003122
"44",2.5,"193.1",0.129,"Mouse_Pa","trial_1",0.0753333333333333,0.0290994463483032
"45",2.75,"KPPR1",0.212,"Mouse_Pa","trial_1",0.143133333333333,0.0109895477036209
"46",2.75,"145.1",0.128,"Mouse_Pa","trial_1",0.0743333333333333,0.026847304851284
"47",2.75,"191.1",0.124,"Mouse_Pa","trial_1",0.0953333333333333,0.0207551867680775
"48",2.75,"193.1",0.159,"Mouse_Pa","trial_1",0.107333333333333,0.0312641079265736
"49",3,"KPPR1",0.238,"Mouse_Pa","trial_1",0.168466666666667,0.0103357293689077
"50",3,"145.1",0.174,"Mouse_Pa","trial_1",0.109333333333333,0.0323539453201272
"51",3,"191.1",0.156,"Mouse_Pa","trial_1",0.142,0.0130128141972954
"52",3,"193.1",0.198,"Mouse_Pa","trial_1",0.145666666666667,0.0276546158493981
"53",3.25,"KPPR1",0.263,"Mouse_Pa","trial_1",0.189133333333333,0.0104825781392005
"54",3.25,"145.1",0.197,"Mouse_Pa","trial_1",0.165,0.0165025250593154
"55",3.25,"191.1",0.18,"Mouse_Pa","trial_1",0.163333333333333,0.0156773013550731
"56",3.25,"193.1",0.245,"Mouse_Pa","trial_1",0.18,0.0337095436535906
"57",3.5,"KPPR1",0.292,"Mouse_Pa","trial_1",0.2092,0.0113507708989302
"58",3.5,"145.1",0.25,"Mouse_Pa","trial_1",0.197666666666667,0.0261682589749066
"59",3.5,"191.1",0.213,"Mouse_Pa","trial_1",0.189666666666667,0.0194707758220136
"60",3.5,"193.1",0.284,"Mouse_Pa","trial_1",0.210666666666667,0.0379575786606282
"61",3.75,"KPPR1",0.316,"Mouse_Pa","trial_1",0.230133333333333,0.012782006201676
"62",3.75,"145.1",0.321,"Mouse_Pa","trial_1",0.233,0.0440151489073175
"63",3.75,"191.1",0.253,"Mouse_Pa","trial_1",0.221333333333333,0.0245515331044271
"64",3.75,"193.1",0.331,"Mouse_Pa","trial_1",0.249666666666667,0.0422742369666338
"65",4,"KPPR1",0.344,"Mouse_Pa","trial_1",0.253533333333333,0.0138154043308691
"66",4,"145.1",0.384,"Mouse_Pa","trial_1",0.282,0.0510130702206144
"67",4,"191.1",0.305,"Mouse_Pa","trial_1",0.267666666666667,0.0296947432684268
"68",4,"193.1",0.395,"Mouse_Pa","trial_1",0.298,0.0524309069156733
"69",4.25,"KPPR1",0.373,"Mouse_Pa","trial_1",0.277933333333333,0.0147984769701115
"70",4.25,"145.1",0.458,"Mouse_Pa","trial_1",0.353,0.0525198375219625
"71",4.25,"191.1",0.373,"Mouse_Pa","trial_1",0.325,0.0366606055596467
"72",4.25,"193.1",0.458,"Mouse_Pa","trial_1",0.354333333333333,0.0559533535883041
"73",4.5,"KPPR1",0.401,"Mouse_Pa","trial_1",0.305133333333333,0.01563752101492
"74",4.5,"145.1",0.551,"Mouse_Pa","trial_1",0.436666666666667,0.0572256741137907
"75",4.5,"191.1",0.444,"Mouse_Pa","trial_1",0.384666666666667,0.0438798865591565
"76",4.5,"193.1",0.526,"Mouse_Pa","trial_1",0.422333333333333,0.0573478663751127
