"","Condition","Timepoint_hr","CFU_per_mL","fold_change","LOD","trial","log_fold_change","mean_log_fold_change"
"1","JV1_LB","T0",4200000,NA,NA,"trial_1",NA,NA
"2","JV1_self_spent","T0",2600000,NA,NA,"trial_1",NA,NA
"3","JV1_JV450_spent","T0",3400000,NA,NA,"trial_1",NA,NA
"4","JV1_JV46_spent","T0",2800000,NA,NA,"trial_1",NA,NA
"5","JV1_JV69_spent","T0",5800000,NA,NA,"trial_1",NA,NA
"6","JV1_LB","T24",2.4e+10,5714.28571428571,"N","trial_1",3.75696195131371,3.91857546810047
"7","JV1_self_spent","T24",5.6e+08,215.384615384615,"N","trial_1",2.33321467903538,1.84280740951271
"8","JV1_JV450_spent","T24",2e+07,5.88235294117647,"N","trial_1",0.769551078621726,0.314730757094058
"9","JV1_JV46_spent","T24",51000,0.0182142857142857,"N","trial_1",-1.73958785524428,-1.11212075003685
"10","JV1_JV69_spent","T24",4.2e+08,72.4137931034483,"N","trial_1",1.85982129683496,0.624395086130982
"11","JV1_LB","T0",3200000,NA,NA,"trial_2",NA,NA
"12","JV1_self_spent","T0",4e+06,NA,NA,"trial_2",NA,NA
"13","JV1_JV450_spent","T0",5e+06,NA,NA,"trial_2",NA,NA
"14","JV1_JV46_spent","T0",2800000,NA,NA,"trial_2",NA,NA
"15","JV1_JV69_spent","T0",3200000,NA,NA,"trial_2",NA,NA
"16","JV1_LB","T24",3.9e+10,12187.5,"N","trial_2",4.08591462870659,3.91857546810047
"17","JV1_self_spent","T24",6.6e+07,16.5,"N","trial_2",1.21748394421391,1.84280740951271
"18","JV1_JV450_spent","T24",4600000,0.92,"N","trial_2",-0.0362121726544447,0.314730757094058
"19","JV1_JV46_spent","T24",320000,0.114285714285714,"N","trial_2",-0.942008053022313,-1.11212075003685
"20","JV1_JV69_spent","T24",2200000,0.6875,"N","trial_2",-0.1627272974977,0.624395086130982
"21","JV1_LB","T0",4400000,NA,NA,"trial_3",NA,NA
"22","JV1_self_spent","T0",4e+06,NA,NA,"trial_3",NA,NA
"23","JV1_JV450_spent","T0",3200000,NA,NA,"trial_3",NA,NA
"24","JV1_JV46_spent","T0",2800000,NA,NA,"trial_3",NA,NA
"25","JV1__JV69_spent","T0",2800000,NA,NA,"trial_3",NA,NA
"26","JV1_LB","T24",3.6e+10,8181.81818181818,"N","trial_3",3.9128498242811,3.91857546810047
"27","JV1_self_spent","T24",3.8e+08,95,"N","trial_3",1.97772360528885,1.84280740951271
"28","JV1_JV450_spent","T24",5200000,1.625,"N","trial_3",0.210853365314893,0.314730757094058
"29","JV1_JV46_spent","T24",620000,0.221428571428571,"N","trial_3",-0.654766341843965,-1.11212075003685
"30","JV1_JV69_spent","T24",4200000,1.5,"N","trial_3",0.176091259055681,0.624395086130982
