"","Sample","Group","mean_rel_fluor"
"1","KPPR1","neg_ctl",79451.997723753
"2","Pa14","pos_ctl",29785.3189465313
"3","JV15","exp",57121.866606998
"4","JV16","exp",32287.3804760296
"5","JV17","exp",45869.3166420429
"6","JV18","exp",50645.7822247949
"7","JV19","exp",79773.6130062994
"8","JV20","exp",42324.1064041057
"9","JV21","exp",45320.7944353127
"10","JV22","exp",46925.2476170002
"11","JV23","exp",47057.9183112188
"12","JV24","exp",25571.5050712129
"13","JV26","exp",74828.3555991262
"14","JV27","exp",38099.9722028323
"15","JV28","exp",46055.495264235
"16","JV29","exp",28621.3055270417
"17","JV30","exp",32274.6820669404
"18","JV31","exp",32282.7210409504
"19","JV32","exp",38802.2336671813
"20","JV33","exp",60456.2352050087
"21","JV34","exp",37725.5817573586
"22","JV35","exp",31248.4902692473
"23","JV36","exp",52259.2311897378
"24","JV38","exp",42896.4342725222
"25","JV39","exp",45154.6078297507
"26","JV40","exp",35090.644268823
"27","JV41","exp",40263.673806441
"28","JV42","exp",54446.3692288242
"29","JV43","exp",43560.6956068392
"30","JV44","exp",38004.5200779202
"31","JV45","exp",71154.3243699285
"32","JV46","exp",26524.1724719312
"33","JV47","exp",89646.7107262009
"34","JV48","exp",42690.0161636518
"35","JV49","exp",31697.2245903071
"36","JV50","exp",39464.6765849771
"37","JV51","exp",45879.7854750934
"38","JV52","exp",35683.3602774875
"39","JV53","exp",38349.2040315504
"40","JV54","exp",42367.5308483178
"41","JV55","exp",24658.0041839457
"42","JV56","exp",49670.8022074173
"43","JV57","exp",25543.4716359559
"44","JV58","exp",38708.2347686477
"45","JV59","exp",43557.7965224079
"46","JV60","exp",31089.7973811103
"47","JV61","exp",22726.0686618413
"48","JV62","exp",23618.5693405861
"49","JV63","exp",28381.4319409193
"50","JV64","exp",26988.8433585314
"51","JV65","exp",31193.5868617064
"52","JV197","exp",42280.6301658936
"53","JV67","exp",36268.429709062
"54","JV68","exp",37565.521266147
"55","JV69","exp",35396.0294667043
"56","JV70","exp",27862.5752456806
"57","JV71","exp",66375.0685970609
"58","JV73","exp",30315.1295547236
"59","JV193","exp",44109.5360915704
"60","JV194","exp",31044.7718350471
"61","JV195","exp",22423.5633371775
"62","JV196","exp",36487.0414154838
"63","JV66","exp",30912.2682236636
"64","JV198","exp",58747.8048866917
"65","JV199","exp",41995.0850238526
"66","JV200","exp",43303.5195458941
"67","JV201","exp",33584.2471187583
"68","JV202","exp",33762.9271913212
"69","JV203","exp",24579.4745643806
"70","JV204","exp",34120.2401054557
"71","JV257","exp",26796.2570250668
"72","JV258","exp",49537.0693426932
"73","JV259","exp",34121.2769461236
"74","JV260","exp",37551.8756591994
"75","JV261","exp",39051.1247216197
"76","JV262","exp",36474.2782799262
"77","JV263","exp",39171.9277334983
"78","JV264","exp",30118.213928416
"79","JV265","exp",57507.8804967247
"80","JV266","exp",38928.1441984645
"81","JV267","exp",32086.0267083164
"82","JV268","exp",31080.8424840295
"83","JV269","exp",33392.8157717186
"84","JV270","exp",56836.8716142278
"85","JV271","exp",43593.9752158173
"86","JV272","exp",34621.1513505028
"87","JV273","exp",74729.6136287389
"88","JV274","exp",47323.4086346231
"89","JV275","exp",45668.3873078356
"90","JV276","exp",30314.5417332581
"91","JV287","exp",46947.7291059508
"92","JV288","exp",31161.1426006281
"93","JV289","exp",39035.230854389
"94","JV290","exp",37325.2530786278
"95","JV291","exp",51628.4864656239
"96","JV292","exp",68892.6857970483
"97","JV294","exp",39658.7148260544
"98","JV296","exp",43647.6369182954
"99","JV297","exp",35716.7172424981
"100","JV298","exp",36668.3885253125
"101","JV299","exp",30621.601804194
"102","JV301","exp",30262.8835755925
"103","JV302","exp",20934.4742406453
"104","JV303","exp",25149.4757124603
"105","JV304","exp",25639.3438809171
"106","JV305","exp",31788.3448785907
"107","JV306","exp",45883.2805291265
"108","JV307","exp",19816.2124083334
"109","JV308","exp",33511.820898632
"110","JV309","exp",39422.7856404392
"111","JV310","exp",49671.1635309402
"112","JV311","exp",27865.3037335337
"113","JV312","exp",23662.7925320343
"114","JV313","exp",33747.2178880038
"115","JV314","exp",34037.128942402
"116","JV315","exp",33629.5472069291
"117","JV316","exp",20452.1778790145
"118","JV317","exp",23363.9679469282
"119","JV318","exp",25606.5264202388
"120","JV319","exp",25983.0827793686
"121","JV320","exp",33597.7478259851
"122","JV321","exp",63673.8207906648
"123","JV322","exp",26768.2926829268
"124","JV323","exp",62836.5465732814
"125","JV324","exp",42824.1435645193
"126","JV325","exp",26323.409223635
"127","JV326","exp",27954.7707761906
"128","JV327","exp",37251.0321431342
"129","JV328","exp",62321.4957369204
"130","JV329","exp",36792.6891082907
"131","JV330","exp",55977.6876007792
"132","JV331","exp",21455.4357621694
"133","JV332","exp",21763.4833138378
"134","JV333","exp",38671.6908636512
"135","JV334","exp",35554.4263643126
"136","JV335","exp",26789.0934595069
"137","JV336","exp",38344.5694645149
"138","JV337","exp",44851.2787966249
"139","JV340","exp",41131.5769412583
"140","JV341","exp",25220.564186569
"141","JV342","exp",31255.7305226993
"142","JV343","exp",30517.4157965742
"143","JV344","exp",25777.7599042464
"144","JV345","exp",28890.1275275284
"145","JV346","exp",33924.8807366084
"146","JV347","exp",32079.1830144644
"147","JV348","exp",31451.6671431155
