"","competition","trial","culture_conditions","Condition","Timepoint_hr","CFU_per_mL_total","mean_CFU_per_mL","log_mean_CFU_per_mL","sem_CFU_per_mL","log_sem_CFU_per_mL","fold_change","log_fold_change","mean_fold_change","mean_log_fold_change"
"1","mouse_Pa_Kp_glu_comp","trial_1","control","KPPR1_fresh_lb","T0",3e+06,2800000,6.44715803134222,328633.5345031,5.51671187774348,NA,NA,NA,NA
"2","mouse_Pa_Kp_glu_comp","trial_1","spent","KPPR1_self_spent_water","T0",1800000,2560000,6.40823996531185,430813.18457076,5.63428898594142,NA,NA,NA,NA
"3","mouse_Pa_Kp_glu_comp","trial_1","spent","KPPR1_spent_jv3_water","T0",2200000,2200000,6.34242268082221,334664.01061363,5.52460901133509,NA,NA,NA,NA
"4","mouse_Pa_Kp_glu_comp","trial_1","spent","KPPR1_spent_jv4_water","T0",1800000,2600000,6.41497334797082,209761.76963403,5.32172633824309,NA,NA,NA,NA
"5","mouse_Pa_Kp_glu_comp","trial_1","spent","KPPR1_spent_jv5_water","T0",3e+06,3040000,6.48287358360875,97979.5897113271,4.99113561651978,NA,NA,NA,NA
"6","mouse_Pa_Kp_glu_comp","trial_1","spent","KPPR1_self_spent_glu","T0",1800000,2840000,6.45331834004704,305941.170815567,5.48563792436905,NA,NA,NA,NA
"7","mouse_Pa_Kp_glu_comp","trial_1","spent","KPPR1_spent_jv3_glu","T0",2e+06,2640000,6.42160392686983,416653.333119993,5.61977486042024,NA,NA,NA,NA
"8","mouse_Pa_Kp_glu_comp","trial_1","spent","KPPR1_spent_jv4_glu","T0",2200000,2440000,6.38738982633873,97979.5897113271,4.99113561651978,NA,NA,NA,NA
"9","mouse_Pa_Kp_glu_comp","trial_1","spent","KPPR1_spent_jv5_glu","T0",1200000,2960000,6.47129171105894,597996.655509042,5.77669875506194,NA,NA,NA,NA
"10","mouse_Pa_Kp_glu_comp","trial_1","control","KPPR1_fresh_lb","T24",5.6e+10,3.056e+10,10.4851533499037,12485255303.7573,10.0963974274146,18666.6666666667,4.27106677228654,10079.3650793651,4.00343317583839
"11","mouse_Pa_Kp_glu_comp","trial_1","spent","KPPR1_self_spent_water","T24",4.4e+07,1.66e+08,8.22010808804005,79241403.3192245,7.89895215803762,24.4444444444444,1.38818017138288,87.8006176829706,1.94349757120635
"12","mouse_Pa_Kp_glu_comp","trial_1","spent","KPPR1_spent_jv3_water","T24",4200000,2600000,6.41497334797082,485798.312059645,5.68645600148505,1.90909090909091,0.280826609575694,1.21383583736525,0.0841599554812036
"13","mouse_Pa_Kp_glu_comp","trial_1","spent","KPPR1_spent_jv4_water","T24",1280000,1448000,6.16076856186113,480566.332570229,5.68175334180884,0.711111111111111,-0.148062535455438,0.564639804639805,-0.248228509245989
