"","Time","strain","OD600","expt","trial","sugar","mean_OD600","sem_OD600"
"1",0,"JV1_NAG",0.004,"Mouse_Pa","trial_1","nag",0.00266666666666667,0.00240370085030933
"2",0,"JV3_NAG",0.005,"Mouse_Pa","trial_1","nag",0.00266666666666667,0.00284800124843918
"3",0,"JV4_NAG",0.002,"Mouse_Pa","trial_1","nag",0.000666666666666667,0.00133333333333333
"4",0,"JV5_NAG",0.003,"Mouse_Pa","trial_1","nag",-0.00133333333333333,0.00260341655863555
"5",0.25,"JV1_NAG",0.004,"Mouse_Pa","trial_1","nag",0.00333333333333333,0.00176383420737639
"6",0.25,"JV3_NAG",0.005,"Mouse_Pa","trial_1","nag",0.002,0.00251661147842358
"7",0.25,"JV4_NAG",0.003,"Mouse_Pa","trial_1","nag",0.001,0.00152752523165195
"8",0.25,"JV5_NAG",0.003,"Mouse_Pa","trial_1","nag",-0.001,0.0023094010767585
"9",0.5,"JV1_NAG",0.006,"Mouse_Pa","trial_1","nag",0.00466666666666667,0.00133333333333333
"10",0.5,"JV3_NAG",-0.001,"Mouse_Pa","trial_1","nag",-0.001,0.000577350269189626
"11",0.5,"JV4_NAG",0.003,"Mouse_Pa","trial_1","nag",0.00166666666666667,0.000881917103688197
"12",0.5,"JV5_NAG",-0.001,"Mouse_Pa","trial_1","nag",-0.00133333333333333,0.000881917103688197
"13",0.75,"JV1_NAG",0.007,"Mouse_Pa","trial_1","nag",0.00466666666666667,0.00392994204085053
"14",0.75,"JV3_NAG",0.001,"Mouse_Pa","trial_1","nag",0,0.001
"15",0.75,"JV4_NAG",0.005,"Mouse_Pa","trial_1","nag",0.00333333333333333,0.002185812841434
"16",0.75,"JV5_NAG",0,"Mouse_Pa","trial_1","nag",-0.00233333333333333,0.00185592145427667
"17",1,"JV1_NAG",0.013,"Mouse_Pa","trial_1","nag",0.01,0.00458257569495584
"18",1,"JV3_NAG",0.004,"Mouse_Pa","trial_1","nag",0.001,0.00208166599946613
"19",1,"JV4_NAG",0.006,"Mouse_Pa","trial_1","nag",0.003,0.00251661147842358
"20",1,"JV5_NAG",0.002,"Mouse_Pa","trial_1","nag",-0.002,0.00305505046330389
"21",1.25,"JV1_NAG",0.024,"Mouse_Pa","trial_1","nag",0.0206666666666667,0.004371625682868
"22",1.25,"JV3_NAG",0.003,"Mouse_Pa","trial_1","nag",0.001,0.00152752523165195
"23",1.25,"JV4_NAG",0.006,"Mouse_Pa","trial_1","nag",0.003,0.00208166599946613
"24",1.25,"JV5_NAG",0.004,"Mouse_Pa","trial_1","nag",-0.00133333333333333,0.00352766841475279
"25",1.5,"JV1_NAG",0.04,"Mouse_Pa","trial_1","nag",0.038,0.00416333199893227
"26",1.5,"JV3_NAG",0.004,"Mouse_Pa","trial_1","nag",0.00133333333333333,0.00176383420737639
"27",1.5,"JV4_NAG",0.005,"Mouse_Pa","trial_1","nag",0.003,0.002
"28",1.5,"JV5_NAG",0.004,"Mouse_Pa","trial_1","nag",0,0.00305505046330389
"29",1.75,"JV1_NAG",0.065,"Mouse_Pa","trial_1","nag",0.0626666666666667,0.00392994204085053
"30",1.75,"JV3_NAG",0.005,"Mouse_Pa","trial_1","nag",0.00133333333333333,0.00233333333333333
"31",1.75,"JV4_NAG",0.007,"Mouse_Pa","trial_1","nag",0.005,0.002
"32",1.75,"JV5_NAG",0.004,"Mouse_Pa","trial_1","nag",0.001,0.003
"33",2,"JV1_NAG",0.101,"Mouse_Pa","trial_1","nag",0.0973333333333333,0.00366666666666667
"34",2,"JV3_NAG",0.005,"Mouse_Pa","trial_1","nag",0.002,0.00208166599946613
"35",2,"JV4_NAG",0.008,"Mouse_Pa","trial_1","nag",0.00533333333333333,0.002185812841434
"36",2,"JV5_NAG",0.006,"Mouse_Pa","trial_1","nag",0.00233333333333333,0.00366666666666667
"37",2.25,"JV1_NAG",0.137,"Mouse_Pa","trial_1","nag",0.132666666666667,0.00484194634877799
"38",2.25,"JV3_NAG",0.006,"Mouse_Pa","trial_1","nag",0.00333333333333333,0.00176383420737639
"39",2.25,"JV4_NAG",0.009,"Mouse_Pa","trial_1","nag",0.00733333333333333,0.00166666666666667
"40",2.25,"JV5_NAG",0.009,"Mouse_Pa","trial_1","nag",0.00433333333333333,0.00371184290855335
"41",2.5,"JV1_NAG",0.183,"Mouse_Pa","trial_1","nag",0.182,0.00208166599946613
"42",2.5,"JV3_NAG",0.007,"Mouse_Pa","trial_1","nag",0.00433333333333333,0.00145296631451356
"43",2.5,"JV4_NAG",0.011,"Mouse_Pa","trial_1","nag",0.00933333333333333,0.00166666666666667
"44",2.5,"JV5_NAG",0.008,"Mouse_Pa","trial_1","nag",0.00466666666666667,0.00333333333333333
"45",2.75,"JV1_NAG",0.245,"Mouse_Pa","trial_1","nag",0.239,0.00346410161513775
"46",2.75,"JV3_NAG",0.009,"Mouse_Pa","trial_1","nag",0.005,0.00264575131106459
"47",2.75,"JV4_NAG",0.013,"Mouse_Pa","trial_1","nag",0.0106666666666667,0.00145296631451356
"48",2.75,"JV5_NAG",0.012,"Mouse_Pa","trial_1","nag",0.00833333333333333,0.00317979733805649
"49",3,"JV1_NAG",0.307,"Mouse_Pa","trial_1","nag",0.302666666666667,0.002185812841434
"50",3,"JV3_NAG",0.011,"Mouse_Pa","trial_1","nag",0.006,0.00288675134594813
"51",3,"JV4_NAG",0.016,"Mouse_Pa","trial_1","nag",0.0133333333333333,0.00133333333333333
"52",3,"JV5_NAG",0.012,"Mouse_Pa","trial_1","nag",0.0103333333333333,0.0032829526005987
"53",3.25,"JV1_NAG",0.39,"Mouse_Pa","trial_1","nag",0.405333333333333,0.0138604152575279
"54",3.25,"JV3_NAG",0.023,"Mouse_Pa","trial_1","nag",0.0113333333333333,0.00617341972581738
"55",3.25,"JV4_NAG",0.02,"Mouse_Pa","trial_1","nag",0.017,0.00152752523165195
"56",3.25,"JV5_NAG",0.02,"Mouse_Pa","trial_1","nag",0.0163333333333333,0.00417665469538056
"57",3.5,"JV1_NAG",0.507,"Mouse_Pa","trial_1","nag",0.566333333333333,0.0368977566315954
"58",3.5,"JV3_NAG",0.03,"Mouse_Pa","trial_1","nag",0.0166666666666667,0.00688799277325728
"59",3.5,"JV4_NAG",0.033,"Mouse_Pa","trial_1","nag",0.0246666666666667,0.00425571511160124
"60",3.5,"JV5_NAG",0.025,"Mouse_Pa","trial_1","nag",0.022,0.00404145188432738
"61",3.75,"JV1_NAG",0.705,"Mouse_Pa","trial_1","nag",0.797666666666667,0.0575074874352124
"62",3.75,"JV3_NAG",0.043,"Mouse_Pa","trial_1","nag",0.021,0.01113552872566
"63",3.75,"JV4_NAG",0.035,"Mouse_Pa","trial_1","nag",0.0276666666666667,0.00433333333333333
"64",3.75,"JV5_NAG",0.032,"Mouse_Pa","trial_1","nag",0.0273333333333333,0.00466666666666667
"65",4,"JV1_NAG",0.968,"Mouse_Pa","trial_1","nag",1.05233333333333,0.0606474328484818
"66",4,"JV3_NAG",0.056,"Mouse_Pa","trial_1","nag",0.03,0.0133166562369588
"67",4,"JV4_NAG",0.046,"Mouse_Pa","trial_1","nag",0.037,0.00519615242270663
"68",4,"JV5_NAG",0.047,"Mouse_Pa","trial_1","nag",0.039,0.00529150262212918
"69",4.25,"JV1_NAG",1.158,"Mouse_Pa","trial_1","nag",1.21566666666667,0.0435367022688265
"70",4.25,"JV3_NAG",0.058,"Mouse_Pa","trial_1","nag",0.037,0.0118462370959446
"71",4.25,"JV4_NAG",0.047,"Mouse_Pa","trial_1","nag",0.042,0.00404145188432738
"72",4.25,"JV5_NAG",0.05,"Mouse_Pa","trial_1","nag",0.0456666666666667,0.00484194634877798
"73",4.5,"JV1_NAG",1.359,"Mouse_Pa","trial_1","nag",1.39066666666667,0.0431367335084355
"74",4.5,"JV3_NAG",0.079,"Mouse_Pa","trial_1","nag",0.049,0.017925772879665
"75",4.5,"JV4_NAG",0.062,"Mouse_Pa","trial_1","nag",0.0553333333333333,0.00523874454850057
