"","Time","strain","OD600","expt","trial","sugar","mean_OD600","sem_OD600"
"1",0,"JV1_Rib",0.001,"Mouse_Pa","trial_1","ribose",0.007,0.00458257569495584
"2",0,"JV3_Rib",-0.007,"Mouse_Pa","trial_1","ribose",-0.00166666666666667,0.00392994204085053
"3",0,"JV4_Rib",-0.008,"Mouse_Pa","trial_1","ribose",-0.00466666666666667,0.00176383420737639
"4",0,"JV5_Rib",-0.007,"Mouse_Pa","trial_1","ribose",-0.00166666666666667,0.00266666666666667
"5",0.25,"JV1_Rib",-0.001,"Mouse_Pa","trial_1","ribose",0.00466666666666667,0.00348010216963685
"6",0.25,"JV3_Rib",-0.007,"Mouse_Pa","trial_1","ribose",-0.002,0.00360555127546399
"7",0.25,"JV4_Rib",-0.008,"Mouse_Pa","trial_1","ribose",-0.00433333333333333,0.00233333333333333
"8",0.25,"JV5_Rib",-0.007,"Mouse_Pa","trial_1","ribose",-0.002,0.00264575131106459
"9",0.5,"JV1_Rib",-0.002,"Mouse_Pa","trial_1","ribose",0.00533333333333333,0.00635959467611297
"10",0.5,"JV3_Rib",-0.007,"Mouse_Pa","trial_1","ribose",-0.00133333333333333,0.00938675189355248
"11",0.5,"JV4_Rib",-0.009,"Mouse_Pa","trial_1","ribose",-0.00233333333333333,0.00617341972581738
"12",0.5,"JV5_Rib",-0.006,"Mouse_Pa","trial_1","ribose",-0.00166666666666667,0.00643773597194266
"13",0.75,"JV1_Rib",-0.002,"Mouse_Pa","trial_1","ribose",0.00733333333333333,0.00835330939076111
"14",0.75,"JV3_Rib",-0.008,"Mouse_Pa","trial_1","ribose",0.001,0.009
"15",0.75,"JV4_Rib",-0.008,"Mouse_Pa","trial_1","ribose",-0.000333333333333334,0.00669161996662824
"16",0.75,"JV5_Rib",-0.007,"Mouse_Pa","trial_1","ribose",0.001,0.006557438524302
"17",1,"JV1_Rib",0.002,"Mouse_Pa","trial_1","ribose",0.0106666666666667,0.00817176711475417
"18",1,"JV3_Rib",-0.007,"Mouse_Pa","trial_1","ribose",0.00133333333333333,0.00883804905570857
"19",1,"JV4_Rib",-0.008,"Mouse_Pa","trial_1","ribose",-0.000333333333333334,0.00669161996662824
"20",1,"JV5_Rib",-0.008,"Mouse_Pa","trial_1","ribose",0.00133333333333333,0.0065659052011974
"21",1.25,"JV1_Rib",0.005,"Mouse_Pa","trial_1","ribose",0.0156666666666667,0.008743251365736
"22",1.25,"JV3_Rib",-0.008,"Mouse_Pa","trial_1","ribose",0.001,0.009
"23",1.25,"JV4_Rib",-0.006,"Mouse_Pa","trial_1","ribose",0.000333333333333333,0.00633333333333333
"24",1.25,"JV5_Rib",-0.008,"Mouse_Pa","trial_1","ribose",0.00133333333333333,0.0065659052011974
"25",1.5,"JV1_Rib",0.012,"Mouse_Pa","trial_1","ribose",0.0263333333333333,0.0105882534495124
"26",1.5,"JV3_Rib",-0.007,"Mouse_Pa","trial_1","ribose",0.002,0.009
"27",1.5,"JV4_Rib",-0.006,"Mouse_Pa","trial_1","ribose",0.000333333333333333,0.00584047182264508
"28",1.5,"JV5_Rib",-0.01,"Mouse_Pa","trial_1","ribose",0.00166666666666667,0.00726483157256779
"29",1.75,"JV1_Rib",0.023,"Mouse_Pa","trial_1","ribose",0.0393333333333333,0.0112891294812507
"30",1.75,"JV3_Rib",-0.003,"Mouse_Pa","trial_1","ribose",0.00266666666666667,0.00775313556640867
"31",1.75,"JV4_Rib",-0.002,"Mouse_Pa","trial_1","ribose",0.00166666666666667,0.00523874454850057
"32",1.75,"JV5_Rib",-0.009,"Mouse_Pa","trial_1","ribose",0.00166666666666667,0.00669161996662824
"33",2,"JV1_Rib",0.035,"Mouse_Pa","trial_1","ribose",0.056,0.0141774468787578
"34",2,"JV3_Rib",-0.004,"Mouse_Pa","trial_1","ribose",0.00366666666666667,0.00817176711475417
"35",2,"JV4_Rib",0,"Mouse_Pa","trial_1","ribose",0.00266666666666667,0.00480740170061865
"36",2,"JV5_Rib",-0.008,"Mouse_Pa","trial_1","ribose",0.00366666666666667,0.00693621734889494
"37",2.25,"JV1_Rib",0.054,"Mouse_Pa","trial_1","ribose",0.0803333333333333,0.0159199385816794
"38",2.25,"JV3_Rib",-0.001,"Mouse_Pa","trial_1","ribose",0.004,0.00763762615825973
"39",2.25,"JV4_Rib",-0.001,"Mouse_Pa","trial_1","ribose",0.003,0.00503322295684717
"40",2.25,"JV5_Rib",-0.005,"Mouse_Pa","trial_1","ribose",0.00433333333333333,0.00617341972581738
"41",2.5,"JV1_Rib",0.081,"Mouse_Pa","trial_1","ribose",0.107333333333333,0.0156027063179579
"42",2.5,"JV3_Rib",-0.002,"Mouse_Pa","trial_1","ribose",0.00466666666666667,0.00768837506311386
"43",2.5,"JV4_Rib",-0.001,"Mouse_Pa","trial_1","ribose",0.004,0.0055075705472861
"44",2.5,"JV5_Rib",-0.001,"Mouse_Pa","trial_1","ribose",0.00666666666666667,0.00536449231314369
"45",2.75,"JV1_Rib",0.108,"Mouse_Pa","trial_1","ribose",0.133333333333333,0.0147233752169052
"46",2.75,"JV3_Rib",0.001,"Mouse_Pa","trial_1","ribose",0.006,0.00763762615825973
"47",2.75,"JV4_Rib",0.003,"Mouse_Pa","trial_1","ribose",0.00533333333333333,0.00448454134902457
"48",2.75,"JV5_Rib",0.001,"Mouse_Pa","trial_1","ribose",0.008,0.00513160143944688
"49",3,"JV1_Rib",0.135,"Mouse_Pa","trial_1","ribose",0.161666666666667,0.0155920207513687
"50",3,"JV3_Rib",0.008,"Mouse_Pa","trial_1","ribose",0.00866666666666667,0.0075129517797231
"51",3,"JV4_Rib",0.003,"Mouse_Pa","trial_1","ribose",0.00666666666666667,0.0047022453265553
"52",3,"JV5_Rib",0.002,"Mouse_Pa","trial_1","ribose",0.00933333333333333,0.00504424865014052
"53",3.25,"JV1_Rib",0.163,"Mouse_Pa","trial_1","ribose",0.193,0.0176162803489651
"54",3.25,"JV3_Rib",0.012,"Mouse_Pa","trial_1","ribose",0.0106666666666667,0.00753510303697154
"55",3.25,"JV4_Rib",0.012,"Mouse_Pa","trial_1","ribose",0.01,0.00416333199893227
"56",3.25,"JV5_Rib",0.011,"Mouse_Pa","trial_1","ribose",0.0133333333333333,0.00392994204085053
"57",3.5,"JV1_Rib",0.193,"Mouse_Pa","trial_1","ribose",0.229,0.0202319878739914
"58",3.5,"JV3_Rib",0.017,"Mouse_Pa","trial_1","ribose",0.0136666666666667,0.00768837506311386
"59",3.5,"JV4_Rib",0.016,"Mouse_Pa","trial_1","ribose",0.0133333333333333,0.00425571511160123
"60",3.5,"JV5_Rib",0.014,"Mouse_Pa","trial_1","ribose",0.016,0.00305505046330389
"61",3.75,"JV1_Rib",0.225,"Mouse_Pa","trial_1","ribose",0.267333333333333,0.023708882536111
"62",3.75,"JV3_Rib",0.027,"Mouse_Pa","trial_1","ribose",0.018,0.00850490054811538
"63",3.75,"JV4_Rib",0.023,"Mouse_Pa","trial_1","ribose",0.0163333333333333,0.00523874454850057
"64",3.75,"JV5_Rib",0.021,"Mouse_Pa","trial_1","ribose",0.02,0.00208166599946613
"65",4,"JV1_Rib",0.255,"Mouse_Pa","trial_1","ribose",0.310666666666667,0.0300240644224669
"66",4,"JV3_Rib",0.058,"Mouse_Pa","trial_1","ribose",0.0316666666666667,0.0150148075060736
