"","Strain","Sample","Day","Sex","CFU_per_g_total","LOD","Tissue","Group","Strain_ref","Day_cont","log_CFU_per_g","trial","mean_log_CFU_per_g","sem_log_CFU_per_g"
"1","JV4","feces_M61","D1","M",41407867.494824,"No","feces","exp","JV4","1",7.61708286491247,"trial_1",7.18154161492146,0.223670224676102
"2","JV4","feces_M62","D1","M",239162.92974589,"No","feces","exp","JV4","1",5.3786938648881,"trial_1",7.18154161492146,0.223670224676102
"3","JV4","feces_M63","D1","M",28639618.1384248,"No","feces","exp","JV4","1",7.45696722308133,"trial_1",7.18154161492146,0.223670224676102
"4","JV4","feces_M64","D1","M",11244979.9196787,"No","feces","exp","JV4","1",7.05095868424648,"trial_1",7.18154161492146,0.223670224676102
"5","JV4","feces_M65","D1","M",30534351.1450382,"No","feces","exp","JV4","1",7.4847886956722,"trial_1",7.18154161492146,0.223670224676102
"6","JV4","feces_M61","D2","M",72013093.2896889,"No","feces","exp","JV4","2",7.85741146624363,"trial_1",7.18035484257324,0.325252516910215
"7","JV4","feces_M62","D2","M",323232.323232323,"No","feces","exp","JV4","2",5.50951478372236,"trial_1",7.18035484257324,0.325252516910215
"8","JV4","feces_M63","D2","M",18225419.6642686,"No","feces","exp","JV4","2",7.26067753730703,"trial_1",7.18035484257324,0.325252516910215
"9","JV4","feces_M64","D2","M",325925925.925926,"No","feces","exp","JV4","2",8.51311890799118,"trial_1",7.18035484257324,0.325252516910215
"10","JV4","feces_M65","D2","M",135052179.251074,"No","feces","exp","JV4","2",8.1305015965137,"trial_1",7.18035484257324,0.325252516910215
"11","JV4","feces_M61","D6","M",29629629.6296296,"No","feces","exp","JV4","6",7.47172622283296,"trial_1",6.59232250919483,0.249555940760114
"12","JV4","feces_M62","D6","M",346820.809248554,"No","feces","exp","JV4","6",5.54010514725485,"trial_1",6.59232250919483,0.249555940760114
"13","JV4","feces_M63","D6","M",19662058.3717358,"No","feces","exp","JV4","6",7.29362898107968,"trial_1",6.59232250919483,0.249555940760114
"14","JV4","feces_M64","D6","M",29535864.9789028,"No","feces","exp","JV4","6",7.47034969400415,"trial_1",6.59232250919483,0.249555940760114
"15","JV4","feces_M65","D6","M",17429193.8997821,"No","feces","exp","JV4","6",7.24127730145468,"trial_1",6.59232250919483,0.249555940760114
"16","JV4","feces_M61","D7","M",14742014.7420148,"No","feces","exp","JV4","7",7.16855684115842,"trial_1",6.16533852411958,0.340636577982722
