"","Mouse","pa_code","sample","log_cfu_g"
"1","M112","other","feces_24_hr",5.42360199898605
"2","M112","other","gut_48_hr",4.21836042168298
"3","M113","other","feces_24_hr",3.80042764511651
"4","M113","other","gut_48_hr",3.50514997831991
"5","M114","other","feces_24_hr",3.50514997831991
"6","M114","other","gut_48_hr",3.32905871919637
"7","M115","other","feces_24_hr",3.09691001300806
"8","M115","other","gut_48_hr",2.72699872790912
"9","M116","other","feces_24_hr",4.40912417557302
"10","M116","other","gut_48_hr",4.67638873461167
"11","M117","other","feces_24_hr",5.43933269383026
"12","M117","other","gut_48_hr",4.32905871919637
"13","M118","other","feces_24_hr",2.29885307640971
"14","M118","other","gut_48_hr",3.20411998265592
"15","M119","other","feces_24_hr",4.16633142186523
"16","M119","other","gut_48_hr",5.24551266781415
"17","M120","other","feces_24_hr",4.09970291314768
"18","M120","other","gut_48_hr",2.72699872790912
"19","M121","other","feces_24_hr",3.84509804001426
"20","M121","other","gut_48_hr",6.43541962801786
"21","M142","other","feces_24_hr",5.70679534185573
"22","M142","other","gut_48_hr",4.12493873649973
"23","M143","other","feces_24_hr",5.55747785872804
"24","M143","other","gut_48_hr",6.53991208462088
"25","M144","other","feces_24_hr",6.32905871919637
"26","M144","other","gut_48_hr",5.38975655955883
"27","M146","other","feces_24_hr",5.24900099556522
"28","M146","other","gut_48_hr",6.3067823246245
"29","M147","other","feces_24_hr",6.50863830621784
"30","M147","other","gut_48_hr",5.5193904174783
"31","M148","other","feces_24_hr",6.51587384371168
"32","M148","other","gut_48_hr",6.38021124171161
"33","M149","other","feces_24_hr",5.34053853685324
"34","M149","other","gut_48_hr",2.29885307640971
"35","M150","other","feces_24_hr",7.75884609520471
"36","M150","other","gut_48_hr",8.55307353059658
"37","M151","other","feces_24_hr",4.54136215102864
"38","M151","other","gut_48_hr",3.76839141311916
"39","M192","other","feces_24_hr",4.76839141311916
"40","M192","other","gut_48_hr",6.38021124171161
"41","M194","other","feces_24_hr",4.71719482441842
"42","M194","other","gut_48_hr",5.20411998265593
"43","M198","other","feces_24_hr",6.31439395722196
"44","M198","other","gut_48_hr",4.67148140005559
"45","M199","other","feces_24_hr",5.85278486868055
"46","M199","other","gut_48_hr",5.2952004519299
"47","M200","other","feces_24_hr",5.13262556522888
"48","M200","other","gut_48_hr",3.42596873232657
"49","M231","other","feces_24_hr",5.43424125824647
"50","M231","other","gut_48_hr",7.40823996531185
"51","M232","other","feces_24_hr",3.24667233325453
"52","M232","other","gut_48_hr",4.12493873649973
"53","M233","other","feces_24_hr",5.49851939948771
"54","M233","other","gut_48_hr",5.38021124171161
"55","M234","other","feces_24_hr",3.93785209326786
"56","M234","other","gut_48_hr",2.29885307640971
"57","M235","other","feces_24_hr",4.26999576203661
"58","M235","other","gut_48_hr",2.29885307640971
"59","M236","other","feces_24_hr",3.72699872790912
"60","M236","other","gut_48_hr",3.42596873232657
"61","M237","other","feces_24_hr",5.69632990819629
"62","M237","other","gut_48_hr",5.5193904174783
"63","M238","other","feces_24_hr",6.45909815051278
"64","M238","other","gut_48_hr",5.7481880270062
"65","M239","other","feces_24_hr",4.95424250943933
"66","M239","other","gut_48_hr",5.79145671718658
"67","M240","other","feces_24_hr",5.57080229757159
"68","M240","other","gut_48_hr",6.40823996531185
"69","M271","other","feces_24_hr",3.90308998699194
"70","M271","other","gut_48_hr",5.2952004519299
"71","M273","other","feces_24_hr",2.29885307640971
"72","M273","other","gut_48_hr",5.70472233325368
"73","M274","other","feces_24_hr",2.29885307640971
"74","M274","other","gut_48_hr",3.02802872373596
"75","M275","other","feces_24_hr",4.61630043040755
"76","M275","other","gut_48_hr",5.63548374681491
"77","M276","other","feces_24_hr",5.47712125471966
"78","M276","other","gut_48_hr",5.54654266347813
"79","M277","other","feces_24_hr",4.54654266347813
"80","M277","other","gut_48_hr",3.02802872373596
"81","M278","other","feces_24_hr",5.56194276817602
"82","M278","other","gut_48_hr",5.53991208462088
"83","M279","other","feces_24_hr",3.73675856526161
"84","M279","other","gut_48_hr",5.82390874096603
"85","M280","other","feces_24_hr",4.10354059182811
"86","M280","other","gut_48_hr",4.02802872373596
"87","M193","193","feces_24_hr",4.5757310525649
"88","M193","193","gut_48_hr",3.32905871919637
"89","M191","191","feces_24_hr",4.50138982943244
"90","M191","191","gut_48_hr",2.72699872790912
"91","M145","145","feces_24_hr",5.11335686404675
"92","M145","145","gut_48_hr",2.72699872790912
