Loc_ID,Pa14 gene locus,PA01 gene locus,Gene name,Gene description,z-score trial 1,z-score trial 2
ExMr_nr_mas_01_1_A02,PA14_37530,PA2086,NA,putative hydrolase,-1.0953903488633465,1.2358042642961031
ExMr_nr_mas_01_1_A03,PA14_66480,PA5028,NA,putative ATPase nvolved in chromosome partitioning,0.6184766840745125,0.575513929378606
ExMr_nr_mas_01_1_A04,PA14_01720,PA0140,ahpF,alkyl hydroperoxide reductase subunit F,-0.05253920138066484,0.3857339920593437
ExMr_nr_mas_01_1_A05,PA14_51950,NA,NA,hypothetical protein,0.6104358539148448,-0.5577857405554846
ExMr_nr_mas_01_1_A06,PA14_29220,PA2700,NA,putative porin,1.5347245575028055,-0.5793752524961189
ExMr_nr_mas_01_1_A07,PA14_32470,PA2487,NA,hypothetical protein,-1.7185272844843236,0.589786327757395
ExMr_nr_mas_01_1_A08,PA14_44230,NA,NA,hypothetical protein,0.07316265591181546,-0.22407458795859259
ExMr_nr_mas_01_1_A09,PA14_19910,PA3416,NA,"putative pyruvate dehydrogenase E1 component, beta subunit",2.0234544262468934,0.017878626080558443
ExMr_nr_mas_01_1_A10,PA14_29320,PA2691,NA,conserved hypothetical protein,-1.436646457184273,-0.09601935044572137
ExMr_nr_mas_01_1_A11,PA14_41530,PA1781,nirB,assimilatory nitrite reductase large subunit,-0.19664536277496744,0.04337237462287848
ExMr_nr_mas_01_1_A12,PA14_43270,PA1643,NA,putative ATPase,-0.00542626960908234,-0.4796627012376796
ExMr_nr_mas_01_1_B01,PA14_56640,PA4355,NA,putative MFS transporter,0.7992434101893157,0.5579772160059275
ExMr_nr_mas_01_1_B02,PA14_16130,PA3733,NA,putative carnitine dehydratase,0.986417056830591,0.8003075495476796
ExMr_nr_mas_01_1_B03,PA14_73200,PA5551,NA,hypothetical,0.8794102768640211,0.23591405026679266
ExMr_nr_mas_01_1_B04,PA14_36170,PA2207,NA,putative integral membrane protein,0.884889700086879,1.4731929787788645
ExMr_nr_mas_01_1_B05,PA14_10800,PA4109,ampR,transcriptional regulator AmpR,0.7992434101893157,0.10001057568601716
ExMr_nr_mas_01_1_B06,PA14_05050,PA0387,NA,putative Ham1 protein,0.8272887643028674,0.4334491751540223
ExMr_nr_mas_01_1_B07,PA14_50250,PA1095,NA,hypothetical protein,-1.2970399396155026,-0.9794864910331461
ExMr_nr_mas_01_1_B08,PA14_68680,PA5199,envZ,two-component sensor EnvZ,0.6222255527689357,-0.532187127051669
ExMr_nr_mas_01_1_B09,PA14_50140,PA1101,fliF,Flagella M-ring outer membrane protein precursor,-0.9950945489003367,-0.994029402031415
ExMr_nr_mas_01_1_B10,PA14_31850,PA2529,NA,putative protease,-0.6979624811518179,-1.4201627507670336
ExMr_nr_mas_01_1_B11,NA,NA,NA,NA,-1.5725886808903524,-0.4812810218118121
ExMr_nr_mas_01_1_B12,PA14_72140,PA5466,NA,putative permease,-1.4522687607497495,-0.7187706140726967
ExMr_nr_mas_01_1_C01,PA14_63970,PA4838,NA,putative membrane protein,0.0628317938330014,0.36436499605392253
ExMr_nr_mas_01_1_C02,PA14_71630,PA5427,adhA,"alcohol dehydrogenase, zinc-containing",0.06848663399913543,0.8882019159080989
ExMr_nr_mas_01_1_C03,PA14_25830,PA2954,NA,conserved hypothetical protein,-0.004045929033677453,-0.42406831581204185
ExMr_nr_mas_01_1_C04,PA14_14420,NA,NA,hypothetical protein,0.3301775685219536,-1.0866769391514597
ExMr_nr_mas_01_1_C05,PA14_56620,PA4354,NA,putative transcriptional regulator,1.2199899160934802,-0.07262768268361128
ExMr_nr_mas_01_1_C06,PA14_43950,PA1588,sucC,succinyl-CoA synthetase beta subunit,-0.2805593088631538,0.413648412290182
ExMr_nr_mas_01_1_C07,PA14_46960,PA1338,ggt,gamma-glutamyltranspeptidase precursor,-1.0360897570665735,0.4303885904087875
ExMr_nr_mas_01_1_C08,PA14_29920,PA2644,nuoI,NADH Dehydrogenase I chain I,0.3665285377535778,-0.9184602147806343
ExMr_nr_mas_01_1_C09,PA14_58850,PA4536,NA,conserved hypothetical protein,-1.3765049468391293,-0.9771625474597935
ExMr_nr_mas_01_1_C10,PA14_06950,PA0533,NA,"putative transcriptional regulator, LuxR family",1.887923975056238,0.2506846708491264
ExMr_nr_mas_01_1_C11,PA14_52510,PA0908,NA,hypothetical protein,-0.2902507067536584,-0.8882972625478495
ExMr_nr_mas_01_1_C12,PA14_65280,PA4942,hflK,protease subunit HflK,0.8713537005115344,0.10470891693128394
ExMr_nr_mas_01_1_D01,PA14_71700,PA5433,NA,"putative acetyltransferase, GNAT family",1.5839201558213374,0.8738897388953641
ExMr_nr_mas_01_1_D02,PA14_53380,PA0842,NA,probable glycosyl transferase,0.6332806084965238,0.4186040835020287
ExMr_nr_mas_01_1_D03,PA14_26960,PA2871,NA,putative acyl-CoA thioesterase,1.564288116065066,0.1911620717986257
ExMr_nr_mas_01_1_D04,PA14_25220,PA3003,NA,conserved hypothetical protein,0.3383982315464745,-0.4842489569448647
ExMr_nr_mas_01_1_D05,PA14_47300,PA1310,phnW,2-aminoethylphosphonate:pyruvate aminotransferase,1.0474225581968457,0.4112872818572962
ExMr_nr_mas_01_1_D06,PA14_11900,PA4016,NA,hypothetical protein,0.9271939782987104,0.10273106893553108
ExMr_nr_mas_01_1_D07,PA14_43920,PA1590,braB,branched chain amino acid transporter,-1.4309527418089716,-1.3587023894346206
