Pa14 gene locus,PA01 gene locus,Gene name,Gene description,z-score
PA14_20440,PA3373,phnN,ATP-binding component of phosphonate transport,7.74
PA14_06570,PA0504,bioD,dethiobiotin synthase,6.52
PA14_17250,PA3641,NA,putative Na+/alanine symporter,6.39
PA14_68350,PA5173,arcC,carbamate kinase,5.02
PA14_72840,PA5521,NA,putative short chain dehydrogenase,4.87
PA14_19120,PA3477,rhlR,acylhomoserine lactone dependent transcriptional regulator,4.14
PA14_01960,PA0157,NA,putative RND efflux membrane fusion protein precursor,4.03
PA14_16930,PA3667,NA,putative cysteine sulfinate desulfinase,3.58
PA14_32750,PA2465,NA,hypothetical protein,3.3
PA14_09810,PA4181,NA,conserved hypothetical protein,3.09
PA14_64590,PA4887,NA,putative MFS transporter,3.08
PA14_62830,PA4748,tpiA,triosephosphate isomerase,3.05
PA14_18520,PA3543,algK,alginate biosynthetic protein AlgK precursor,3.03
PA14_51430,PA0996,pqsA,probable coenzyme A ligase,2.9
PA14_05300,PA0406,NA,putative tonB domain protein,2.83
PA14_48650,PA1210,NA,putative pirin protein,2.66
PA14_09480,PA4210,phzA1,probable phenazine biosynthesis protein,-3.12
PA14_58770,PA4528,pilD,type 4 prepilin peptidase PilD,-3.44
